200_dusuff3msknee,(du. suff. 3 ms) knee,1371,KNEE
201_knie,Knie,,
202_shoulderblade,shoulder blade,172,SHOULDERBLADE
203_shoulderjoint,shoulderjoint,,
204_liver,liver,1224,LIVER
205_emotionsthoughtmindspirit,"emotions, thought, mind, spirit",1562,MIND
206_liveranger,liver; anger,1224,LIVER
207_liverdigestiveorgan,liver; digestive organ,1224,LIVER
208_middleinterior,"middle, interior",1093,MIDDLE
209_liverstomachbelly,"liver, stomach, belly",1224,LIVER
210_bellyheartinterior,"belly, heart, interior",1223,HEART
211_stomachbellyliverabdomen,"stomach, belly, liver, abdomen",1224,LIVER
212_stomachbellyabdomen,"stomach, belly, abdomen",1251,BELLY
213_intestinesentrails,"intestines, entrails",1991,INTESTINES
214_liverexaminedbytheharuspexlivermodelomen,"liver (examined by the haruspex), liver model; omen",107,OMEN
215_entrailsintestines,"entrails, intestines",1991,INTESTINES
216_belly,belly,1251,BELLY
217_intestines,intestines,1991,INTESTINES
218_gutsentrails,"guts, entrails",1334,GUTS
219_eingeweideguts,Eingeweide (guts),,
220_darmintestines,Darm (intestines),,
221_intestine,intestine,1991,INTESTINES
222_bowels,bowels,1991,INTESTINES
223_mouth,mouth,674,MOUTH
224_mouthword,"mouth, word",674,MOUTH
225_mouthopening,mouth; opening,674,MOUTH
226_mouthopening,"mouth, opening",674,MOUTH
227_mouthopeningentrancesharpedgeofblade,"mouth, opening, entrance, sharp edge of blade",674,MOUTH
228_mouthopeningtopentranceedge,"mouth, opening, top, entrance, edge",674,MOUTH
229_mouthopeningfleshoffruitsharpedgeofsword,mouth; opening; flesh (of fruit); sharp edge (of sword),674,MOUTH
230_mundoffnungmouthopening,"Mund, Öffnung (mouth, opening)",1667,HOLE
231_mundmaulmouthmuzzle,"Mund, Maul (mouth, muzzle)",2200,SNOUT
232_voiceauthority,"voice, authority",1363,VOICE
233_mouthlanguage,mouth; language,674,MOUTH
234_openinghole,"opening, hole",1667,HOLE
235_holecrevice,"hole, crevice",1667,HOLE
236_anapertureinawallapassagebetweenanytwohouses,"an aperture in a wall, a passage between any two houses",,
237_passagewaycorridor,"passageway, corridor",,
238_portico,portico,,
239_doorgate,"door, gate",1567,DOOR
240_mouthentranceopening,"mouth; entrance, opening",674,MOUTH
241_name,name,1405,NAME
242_namefamegloryperson,"name; fame, glory; person",1405,NAME
243_name,Name,1405,NAME
244_namename,Name (name),1405,NAME
245_new,new,1231,NEW
246_newyoung,new; young,1231,NEW
247_neunew,neu (new),,
248_etreneuf,être neuf,,
249_tocuttomakeanincision,"to cut, to make an incision",1432,CUT
250_tochop,to chop,155,CHOP
251_tomakeincisionsupononeself,to make incisions upon oneself,,
252_todestroytodigtoteartodivide,to destroy; to dig; to tear; to divide,1418,DIG
253_torenewtodedicate,to renew; to dedicate,,
254_tocutoff,to cut off,,
255_tocuttocutoff,"to cut, to cut off",1432,CUT
256_toteartomakeahole,"to tear, to make a hole",1735,TEAR (SHRED)
257_tobegoodluckyexcellent,"to be good, lucky, excellent",1035,GOOD
258_fortune,fortune,,
259_luck,luck,720,GOOD LUCK
260_fortunelotfate,"fortune, lot, fate",1688,FATE
261_fortunesuccessluck,"fortune, success, luck",720,GOOD LUCK
262_tobefortunate,to be fortunate,,
263_tobegoodapprovableexcellent,"to be good, approvable, excellent",1035,GOOD
264_luckfortune,"luck, fortune",720,GOOD LUCK
265_luckgoodluckorgoodfortune,"luck, good luck or good fortune",720,GOOD LUCK
266_wonderfulmarveloussplendid,"wonderful, marvelous, splendid",,
267_tobenew,to be new,1231,NEW
268_night,night,1233,NIGHT
269_evening,evening,1629,EVENING
270_toliedown,to lie down,215,LIE DOWN
271_sumudi,Sum. Ù.DI,,
272_sumudidi,Sum. Ù.DI.DI,,
273_nachtnight,Nacht (night),,
274_tospendthenight,to spend the night,,
275_bone,bone,1394,BONE
276_thighofananimal,thigh of an animal,,
277_thigh,thigh,471,UPPER LEG (THIGH)
278_bonescorpse,bones (corpse),,
279_thighfoundationwall,"thigh, foundation wall (?)",471,UPPER LEG (THIGH)
280_flankthighinnermostpartfamilyrace,"flank, thigh; innermost part; family, race",471,UPPER LEG (THIGH)
281_thighsideflankhiploin,"thigh, side, flank, hip, loin",471,UPPER LEG (THIGH)
282_back,back,1291,BACK
283_skinoverwoundbadlysetbonetoturnintoscartissue,"skin over wound, badly set bone to turn into scar tissue",,
284_tobefat,to be fat,1279,FAT (OBESE)
285_fat,fat,323,FAT (ORGANIC SUBSTANCE)
286_bodybone,body; bone,1394,BONE
287_boneself,"bone, self",1394,BONE
288_bonecrabshell,bone; crab shell,1394,BONE
289_boneknuckle,bone; knuckle,1394,BONE
290_knocken,Knocken,,
291_knochenbone,Knochen (bone),,
292_body,body,1480,BODY
293_datestone,datestone,,
294_bodyofanimal,body (of animal),1480,BODY
295_earth,earth,1228,EARTH (SOIL)
296_earthland,"earth, land",626,LAND
297_earthlandgroundfloorbottom,"earth, land; ground floor; bottom",1228,EARTH (SOIL)
298_bodengrundwurzelerdefeldackerfeldsoilgroundrootearthfieldarablefield,"Boden, Grund, Wurzel; Erde; Feld, Ackerfeld (soil, ground, root; earth; field, arable field)",670,ROOT
299_soilsoftsurfaceoftheearthusedforcultivationandasabuildingmaterialsoildust,"soil; soft surface of the earth used for cultivation and as a building material (soil, dust)",1228,EARTH (SOIL)
300_soil,soil,1228,EARTH (SOIL)
301_dustearthsoil,"dust; earth, soil",2,DUST
302_earthsoil,"earth, soil",1228,EARTH (SOIL)
303_claysoilearth,"clay, soil, earth",1228,EARTH (SOIL)
304_poussiereterre,"poussière, terre",,
305_earthsoilgroundcountry,"earth, soil, ground, country",1228,EARTH (SOIL)
306_topawthesoil,to paw the soil,,
307_todig,to dig,1418,DIG
308_tobedark,to be dark,706,DARK
309_tobetroubledblurredordark,"to be troubled, blurred or dark",706,DARK
310_tobecloudedtobeconfused,to be clouded; to be confused,3858,CONFUSED
311_not,not,1240,NOT
312_nonot,"no, not",2279,NO OR NOT
313_nonegativeparticle,"no, negative particle",1269,NO
314_no,no,1269,NO
315_verneinungspartikelneinnegativeparticlenot,"Verneinungspartikel, nein (negative particle, 'not')",,
316_one,one,1493,ONE
317_oneanother,one another,,
318_onefeminine,one (feminine),1493,ONE
319_someoneanyone,"someone, anyone",2422,SOMEONE
320_alonesolitary,"alone, solitary",1964,ALONE
321_tounitewith,to unite with,,
322_one,one (?),1493,ONE
323_eleven,eleven,1706,ELEVEN
324_onzeeleven,onze (eleven),,
325_seed,seed,714,SEED
326_seedoffspringdescendants,"seed; offspring, descendants",714,SEED
327_seedsowingoffspringfamily,"seed; sowing; offspring, family",714,SEED
328_kernkernel,Kern (kernel),,
329_tosow,to sow,748,SOW SEEDS
330_tosowtocastseed,"to sow, to cast seed",748,SOW SEEDS
331_cultivatedfield,cultivated field,212,FIELD
332_seedgrain,"seed, grain",714,SEED
333_tosowtoseed,"to sow, to seed",748,SOW SEEDS
334_saentosow,säen (to sow),,
335_plantstogrow,(plants) to grow,479,GROW
336_tallgrass,tall grass,,
337_toscatter,to scatter (?),2064,SCATTER (SEEDS)
338_toscatter,to scatter,3705,SCATTER
339_todisperse,to disperse,,
340_todispersetoscatter,"to disperse, to scatter",3705,SCATTER
341_patodispersescatter,"(pa.) to disperse, scatter",2064,SCATTER (SEEDS)
342_toscatterspreadtakeroot,"to scatter, spread; take root",3705,SCATTER
343_toscattertodispersetosprinkleon,"to scatter, to disperse, to sprinkle on",3705,SCATTER
344_tostrewscatter,"to strew, scatter",572,STREW
345_tosowtoscatter,"to sow, to scatter",748,SOW SEEDS
346_fieldarableland,"field, arable land",212,FIELD
347_star,star,1430,STAR
348_starkindofcollyrium,star; kind of collyrium,1430,STAR
349_sternstar,Stern (star),,
350_sun,sun,1343,SUN
351_sunsunlight,"sun, sunlight",1343,SUN
352_suntypeoflizardgold,sun; type of lizard; gold,1343,SUN
353_sonnenscheinsunshine,Sonne(nschein) (sunshine),,
354_heatofthesun,heat of the sun,,
355_tail,tail,1220,TAIL
356_tailrearpart,"tail, rear part",1220,TAIL
357_sumkun,Sum. KUN,,
358_tailfarthestpart,tail; farthest part,1220,TAIL
359_schwanz,Schwanz,,
360_schwanztail,Schwanz (tail),,
361_toroutenemy,to rout enemy,,
362_tailanus,"tail, anus",1220,TAIL
363_tailscarf,"tail, scarf",1220,TAIL
364_thisthattheonewhowhichthat,"this, that; the one who/which/that",1214,THIS
365_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctormascsg,"the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, masc. sg.)",1235,WHO
366_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorfemsg,"the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, fem. sg.)",1235,WHO
367_theonesofwhowhomhewhotheonewhowhichthatdeterminativerelativefunctorpl,"the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, pl.)",1235,WHO
368_thatmanthere,that (man) there,,
369_this,this,1214,THIS
370_whowhichrelativepronounmascsg,"who, which (relative pronoun, masc. sg.)",1235,WHO
371_that,that,78,THAT
372_thismasc,this (masc.),1214,THIS
373_thisfem,this (fem.),1214,THIS
374_onewhothatwhichrelativepronounmascsg,"one who/that which (relative pronoun, masc. sg.)",,
375_onewhothatwhichrelativepronounfemsg,"one who/that which (relative pronoun, fem. sg.)",,
376_oneswhothatwhichrelativepronounfemdu,"ones who/that which (relative pronoun, fem. du.)",,
377_oneswhothatwhichrelativepronounmascdu,"ones who/that which (relative pronoun, masc. du.)",,
378_whothatwhichrelativepronounmascsg,"who, that, which (relative pronoun, masc. sg.)",1235,WHO
379_thatmasc,that (masc.),78,THAT
380_thisthisonemasc,"this, this one (masc.)",1214,THIS
381_thatwhichhewhorelativepronoun,"that, which, he who (relative pronoun)",78,THAT
382_whothatwhichrelativepronoun,"who, that, which (relative pronoun)",1235,WHO
383_whowhichthatrelativepronoun,"who, which, that (relative pronoun)",1235,WHO
384_whowhichwhatof,"who, which, what; of",1235,WHO
385_notagenitivirelativepronoun,nota genitivi; relative pronoun,,
386_anotheronetheother,"another one, the other",197,OTHER
387_deicticelement,(deictic element),,
388_these,these,,
389_thoumascsg,thou (masc. sg.),1215,THOU
390_you,you,1213,YOU
391_thou,thou,1215,THOU
392_youmascsing,you (masc. sing.),1213,YOU
393_yousgm,you (sg. m.),1213,YOU
394_yousg,you (sg.),1215,THOU
395_youm,you (m.),1213,YOU
396_thoumasc,thou (masc.),1215,THOU
397_youmascsg,you (masc. sg.),1213,YOU
398_you2ms,you (2ms),1213,YOU
399_tongue,tongue,1205,TONGUE
400_tonguelanguage,"tongue, language",1205,TONGUE
401_tongueword,"tongue, word",1205,TONGUE
402_tonguelanguagelanguagegrouppeople,"tongue, language, language group, people",1205,TONGUE
403_tonguelanguagemeaning,"tongue, language, meaning",1205,TONGUE
404_tonguelanguagespeech,"tongue, language, speech",1205,TONGUE
405_language,language,1307,LANGUAGE
406_tonguelanguagespeechversion,"tongue, language, speech, version",1205,TONGUE
407_tonguelanguagespitofland,"tongue, language, spit of land",1205,TONGUE
408_zunge,Zunge,,
409_tonguelanguage,tongue; language,1205,TONGUE
410_zungesprachetonguelanguage,Zunge; Sprache (tongue; language),1307,LANGUAGE
411_tonguelanguage,tongue: language,1205,TONGUE
412_tolick,to lick,319,LICK
413_totastetolick,"to taste, to lick",319,LICK
414_tooth,tooth,1380,TOOTH
415_toothivory,"tooth, ivory",1380,TOOTH
416_molartooth,molar tooth,1049,MOLAR TOOTH
417_protuberance,protuberance,,
418_togrowshootsbranches,"to grow shoots, branches",,
419_eckzahncaninetooth,(Eck­)Zahn ((canine) tooth),,
420_zahneteeth,Zähne (teeth),,
421_zahntooth,Zahn (tooth),,
422_toothmolar,tooth; molar,1380,TOOTH
423_caninetooth,canine tooth,,
424_floatingriborcartilageatthetipoftherib,floating rib or cartilage at the tip of the rib,,
425_two,two,1498,TWO
426_zweitwo,zwei (two),,
427_thenextday,the next day,,
428_both,both,,
429_water,water,948,WATER
430_waterobliquecase,water (oblique case),948,WATER
431_watermailsemenmenstrualfluidurine,"water; mail semen, menstrual fluid; urine",948,WATER
432_wasserwater,Wasser (water),,
433_we,we,1212,WE
434_wirwe,wir (we),,
435_tobewhitebright,"to be white, bright",679,BRIGHT
436_awhitenessinthetailofahorseandtheforelock,"a whiteness in the tail of a horse, and the forelock",,
437_beeswaxhoneycomb,"beeswax, honeycomb",1931,BEESWAX
438_honeycomb,honeycomb,3947,HONEYCOMB
439_who,who?,1235,WHO
440_who,who,1235,WHO
441_werwho,wer? (who?),,
442_whowhosoever,"who, whosoever",1235,WHO
443_bark,bark,1204,BARK
444_skinpeelofafruit,"skin, peel (of a fruit)",763,SKIN
445_scalescalyskintortoiseshellhuskrindbarkpeel,"scale, scaly skin, tortoise shell; husk, rind, bark, peel",1204,BARK
446_scab,scab,2664,SCAB
447_splitparchmentscalysurfacescabplscales,"split parchment; scaly surface, scab, (pl.) scales",2664,SCAB
448_peelshell,"peel, shell",598,SHELL
449_cortexsquamaputamen,"cortex, squama, putamen",,
450_barkshellscalepeel,"bark, shell, scale, peel",1204,BARK
451_shellhardcasing,"shell, hard casing",598,SHELL
452_peel,peel,275,PEEL
453_schalescalepeel,"Schale (scale, peel)",275,PEEL
454_alqisrbarkpeel,"ˀalqišr (bark, peel)",275,PEEL
455_topeeldecorticate,"to peel, decorticate",275,PEEL
456_barkofatree,bark of a tree,,
457_driedbarkofatree,dried bark of a tree,,
458_barkofcertaintrees,bark of certain trees,,
459_lihaussaaribarkofatree,liḥāˀu ššaǯari (bark of a tree),,
460_barkskinpeel,"bark, skin, peel",763,SKIN
461_crustpeelrindscales,"crust, peel, rind, scales",275,PEEL
462_skinpeelhuskshellparingbark,"skin, peel, husk, shell, paring, bark",763,SKIN
463_scabscalepeelhullshellhuskbark,"scab, scale, peel, hull, shell, husk, bark",1204,BARK
464_peelcrustbarkshell,"peel, crust, bark, shell",1204,BARK
465_barkoftree,bark of tree,1204,BARK
466_hardbarkofatree,hard bark of a tree,,
467_bellystomach,"belly, stomach",2114,BELLY OR STOMACH
468_stomachbellywombbodymindheartdesireinnerorlowerside,"stomach, belly, womb, body; mind, heart, desire; inner or lower side",1223,HEART
469_stomach,stomach,819,STOMACH
470_stomachwomb,"stomach, womb",819,STOMACH
471_bellywomb,"belly, womb",1251,BELLY
472_stomachrumen,"stomach, rumen",819,STOMACH
473_bellystomachwombuterus,"belly, stomach; womb, uterus",1251,BELLY
474_bellystomachwombuteruspregnancy,"belly, stomach; womb, uterus; pregnancy",1251,BELLY
475_ventriclestomachbellyuterusstomachofanimalsespruminant,"ventricle, stomach, belly, uterus; stomach (of animals, esp. ruminant)",1251,BELLY
476_bellystomachwombabdomeninteriorofshiparkvessel,"belly, stomach, womb, abdomen; interior (of ship, ark, vessel)",1251,BELLY
477_inside,inside,1606,INSIDE
478_bellystomachinterior,"belly, stomach, interior",1251,BELLY
479_bellystomachabdomen,"belly, stomach, abdomen",1251,BELLY
480_abdomenbelly,"abdomen, belly",1251,BELLY
481_abdomenbellystomach,"abdomen, belly, stomach",1251,BELLY
482_bellycalfbiceps,belly; calf; biceps,1251,BELLY
483_cold,cold,1287,COLD
484_coldcool,"cold, cool",1287,COLD
485_tomakecoldtocooldown,"to make cold, to cool down",3068,COOL DOWN
486_torefreshostorefreshsotoproviderelief,"to refresh o.s.; to refresh s.o., to provide relief",,
487_tocool,to cool,3068,COOL DOWN
488_tocooldown,to cool down,3068,COOL DOWN
489_tobecoldfrostytoturncold,"to be cold, frosty, to turn cold",1287,COLD
490_tobecold,to be cold,1287,COLD
491_becoldbecoolcooldownangersubsidefire,"be cold, be cool; cool down (anger), subside (fire)",1287,COLD
492_frostofmorning,frost of morning,,
493_earlymorning,early morning,,
494_togoatmiddayspendmidday,"to go at midday, spend midday",,
495_tomorrow,tomorrow,1329,TOMORROW
496_tomorrownextday,tomorrow; next day,1329,TOMORROW
497_fire,fire,221,FIRE
498_fireabscessinflammation,"fire; abscess, inflammation",221,FIRE
499_tobebrighttoshine,"to be bright, to shine",708,SHINE
500_light,light,630,LIGHT (RADIATION)
501_firelight,fire; light,221,FIRE
502_fireconflagration,"fire, conflagration",221,FIRE
503_feuerfire,Feuer (fire),,
504_green,green,1425,GREEN
505_yellowgreenasanaturalcolor,"yellow, green (as a natural color)",1424,YELLOW
506_yellow,yellow,1424,YELLOW
507_greengreenery,"green, greenery",1425,GREEN
508_greenishpalegreen,"greenish, palegreen",,
509_greenyellow,"green, yellow",1424,YELLOW
510_greengreenplants,green; green plants,1425,GREEN
511_greenlividherbsvegetableseggyolk,"green, livid; herbs, vegetables; egg yolk",1425,GREEN
512_yellowgreenishpallid,"yellow, green(ish), pallid",1424,YELLOW
513_grungreen,grün (green),,
514_ashcolored,ashcolored,,
515_leaf,leaf,628,LEAF
516_silvercoins,silver coins,,
517_gold,gold,1369,GOLD
518_strawgrass,"straw, grass",606,GRASS
519_herbgrassvegetationstraw,"herb, grass, vegetation, straw",606,GRASS
520_straw,straw,2299,STRAW
521_drygrassstraw,"dry grass, straw",2299,STRAW
522_toknow,to know,3626,KNOW
