ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID
5691	Amharic	claw	ṭəfər		(AED 2195)	10
6756	Argobba	fingernail	č̣əfər, č̣ufər, ṭəfər		(Leslau 1997:197, AAD 476, Leslau 1997:223)	10
6757	Harari	fingernail	ṭifir		(EDH 152)	10
6758	Selti	fingernail	ṭifər		(EDG 614)	10
6759	Wolane	fingernail	ṭəfər		(EDG 614)	10
6760	Zway	fingernail	ṭəfər		(EDG 614)	10
6761	Gafat	fingernail	ṣəfrä, č̣əfrä		(Leslau 1956:234, Leslau 1945:150)	10
6762	Chaha	fingernail	ṭəfər		(EDG 614)	10
6763	Ezha	fingernail	ṭəfər		(EDG 614)	10
6771	Endegen	fingernail	ˀə̃fər		(EDG 614)	10
6770	Ennemor	fingernail	ˀə̃fər		(EDG 614)	10
6764	Gyeto	fingernail	ṭəfər		(EDG 614)	10
6765	Muher	fingernail	ṭəfər		(EDG 614)	10
6766	Masqan	fingernail	ṭəfər		(EDG 614)	10
6769	Gogot	fingernail	ṭäfər, ṭəfər		(EDG 614)	10
6768	Soddo	fingernail, claw	ṭəfər		(EDG 614)	10
954	Mehri	nail of a finger or toe, claw	ḏ̣fēr		(ML 83)	10
2233	Jibbali	finger or toenail	ḏ̣ífέr		(JL 48)	10
25722	Harsusi	nail of a finger or toe, claw	ḏ̣efīr		(HL 29)	10
42	Soqotri	fingernail	ṭífɛr		(LS 207; CSOL I 683)	10
	PWS	to be abundant (water); to drink abundantly	*rwy		(CDG 478; Kogan 2011: 239; Kogan 2015: 97)	11
6494	Hebrew	to drink one's fill, be refreshed	rwy		(HALOT 1194)	11
6496	Syriac	to drink satiety; to get drunk	rwy		(LSyr. 719, SL 1448)	11
6495	Arabic	to drink one's fill; satisfy one's thirst	rwy		(Lane 1194)	11
6497	Sabaic	to drink one's fill	h-rwy		(SD 119)	11
11376	Sabaic	to provide watersupply	rwy		(SD 119)	11
11377	Qatabanian	irrigation system	mrw		(LIQ 153)	11
6498	Geez	to drink one's fill	rawaya		(CDG 478)	11
11374	Mehri	to have had one's thirst slaked, drink to repletion	ráywi		(ML 334)	11
11375	Jibbali	to have had enough to drink	rē		(JL 218)	11
29390	Harsusi	to have had enough water	rewō or rewī		(HL 106)	11
	PS	ear	*ˀuḏn-		(SED I No. 4)	14
2930	Akkadian	ear	uznu		(CAD U–W 362, AHw. 1447)	14
496	Ugaritic	ear	ˀudn		(DUL 20)	14
581	Hebrew	ear	ˀōzän		(HALOT 27)	14
2931	Official Aramaic	ear	ˀdn		(DNWSI 26)	14
2933	Jewish Palestinian Aramaic	ear	ˀädnā		(DJPA 36)	14
2932	Jewish Babylonian Aramaic	ear	ˀōdän, ˀūdan, ˀūdān		(Jastrow 22, DJBA 85b)	14
582	Syriac	ear, bay of the sea, handle, opening of a bottle	ˀednā		(LSyr. 6, SL 10)	14
2934	Mandaic	ear	ˁudna		(MD 342)	14
2935	Maalula	ear	eḏna		(GNDM 22)	14
2937	Mlaḥso	Ohr (ear)	ezno		(Jastrow 1994:19, 173)	14
2936	Turoyo	Ohr (ear)	aḏno		(RW 27)	14
2938	Arabic	ear	ˀuḏn-		(Lane 45)	14
2939	Sabaic	ear	ˀḏn		(SD 2)	14
2940	Geez	ear	ˀəzn		(LGz. 52)	14
2941	Tigre	ear	ˀəzən		(WTS 381)	14
2942	Tigrinya	ear	ˀəzni		(TED 1516, Bass. 558)	14
2943	Argobba	ear	əzən		(Leslau 1997:194)	14
2945	Harari	ear, handle	uzun		(EDH 39)	14
2946	Selti	ear	əzn, izn		(EDG 121)	14
2947	Wolane	ear	əzən		(EDG 121)	14
2948	Zway	ear	əzən		(EDG 121)	14
2944	Gafat	ear	əznä		(Leslau 1956:187)	14
2953	Chaha	ear	əzər		(EDG 121)	14
2954	Ezha	ear	əzər		(EDG 121)	14
2956	Endegen	ear	əzər		(EDG 121)	14
2955	Ennemor	ear	əzər		(EDG 121)	14
2957	Gyeto	ear	əzər		(EDG 121)	14
2949	Muher	ear	ənzən		(EDG 121)	14
2950	Masqan	ear	ənzən		(EDG 121)	14
2951	Gogot	ear	ənzən		(EDG 121)	14
2952	Soddo	ear	ənzən		(EDG 121)	14
2958	Mehri	ear	ḥə-yḏēn		(ML 3)	14
2960	Jibbali	ear	ˀiḏέn		(JL 1)	14
2959	Harsusi	ear	ḥe-yḏēn		(HL 1)	14
3038	Soqotri	ear	ídhɛn		(LS 53; CSOL I 466; CSOL II 379 )	14
	PS	to eat	*ˀkl		(Fronzaroli 1971: 609, 631; HALOT 46; Kogan 2011: 238)	15
5533	Akkadian	to eat	akālu		(CAD A₁ 245)	15
5534	Ebla	to eat	a-kà-lu-um		(VE 156, Krebernik 1983: 6)	15
5536	Ugaritic	to consume, to devour	ˀkl		(DUL 43)	15
585	Hebrew	to eat	ˀkl		(HALOT 46)	15
15874	Jewish Babylonian Aramaic	to eat	ˀkl		(DJBA 129)	15
586	Syriac	to eat, to consume; to itch	ˀkl		(LSyr. 17, SL 41)	15
15875	Mandaic	to eat	akl		(MD 16)	15
15737	Turoyo	I. essen (to eat)	ˀxl		(JL 175)	15
5535	Arabic	to eat	ˀkl		(Lane 71)	15
	PWS	to swallow	*blˁ		(CDG 94, Kogan 2015: 445)	16
5511	Ugaritic	to swallow	blˁ		(DUL 222)	16
5510	Hebrew	to swallow	blˁ		(HALOT 134)	16
5520	Jewish Palestinian Aramaic	to swallow	blˁ		(DJPA 104)	16
5524	Christian Palestinian Aramaic	to swallow, devour	blˁ		(DCPA 50)	16
5522	Samaritan	to swallow	blˁ		(DSA 100)	16
5521	Jewish Babylonian Aramaic	to swallow	blˁ		(DJBA 221)	16
5512	Syriac	to devour	blˁ		(LSyr. 76, SL 158)	16
5523	Mandaic	to swallow up, devour	bla		(MD 65)	16
5513	Arabic	to swallow	blˁ		(Lane 249)	16
5525	Mehri	to swallow	bōla		(ML 48)	16
5526	Jibbali	to swallow	bélaˁ		(JL 25)	16
	PS	food, bread, grain	*ˀukl-/*ˀikl-		(CDG 15)	17
5530	Akkadian	bread	akalu		(CAD A₁ 238, AHw. 26)	17
2558	Ugaritic	grain, fodder	ˀakl		(DUL 44)	17
5531	Sabaic	grain, food	ˀkl		(SD 4)	17
5532	Minaean	grain, food	ˀkl		(LM 4)	17
5527	Geez	food, bread, corn	ˀəkl		(CDG 15)	17
8508	Tigre	corn	ˀəkəl		(WTS 376)	17
8509	Tigrinya	grain, cereal(s)	ˀəḵli		(TED 1503)	17
8510	Amharic	grain, food, cereal(s), crop(s)	əhəl		(AED 1091)	17
8511	Argobba	cereal	əhəl, əḫäl, əḫəl		(Leslau 1997: 190, AAD 311)	17
8512	Harari	cereal, sorghum	əxi		(EDH 22)	17
8515	Selti	cereal, barley	əkl, əkəl		(EDG 33)	17
8513	Wolane	cereal, barley	əhəl		(EDG 33)	17
8514	Zway	cereal, barley	əhəl		(EDG 33)	17
8517	Chaha	cereal, barley	äxər		(EDG 33)	17
8518	Ezha	cereal, barley	äxər		(EDG 33)	17
8521	Endegen	cereal, barley	ähər		(EDG 33)	17
8519	Ennemor	cereal, barley	äxər		(EDG 33)	17
8520	Gyeto	cereal, barley	äxər		(EDG 33)	17
8523	Muher	cereal, barley	äxi		(EDG 33)	17
8522	Masqan	cereal, barley	ähər		(EDG 33)	17
8524	Gogot	cereal, barley	ähi		(EDG 33)	17
8516	Soddo	cereal, barley	äkəl, ähəl		(EDG 33)	17
	Proto-MSA	to eat	*twy		(Kogan 2015: 31)	18
75	Mehri	to eat	təwū		(ML 404)	18
1100	Mehri	meat	táywi		(ML 404)	18
76	Jibbali	to eat	té		(JL 273)	18
7402	Soqotri	1. to eat; 2. to enjoy, to consume (wealth)	te		(LS 440; CSOL I 679; CSOL II 613; Naumkin et al. 2015a:89)	18
	PS	eye	*ˁayn-		(SED I No. 28)	19
5537	Akkadian	eye	īnu		(CAD I 153, AHw. 353)	19
5538	Ebla	eye	a-na-a		(Krebernik 1983, 27)	19
499	Ugaritic	eye	ˁn		(DUL 168)	19
572	Ugaritic	to see	ˁn		(DUL 167)	19
5545	Amarna Canaanite	our eyes	ḫe-na-ya (du., 1 pl. sff.)		(DNWSI 839)	19
5544	Phoenician	eye, sight	ˁn, ˁyn		(Tomback 1978: 252)	19
587	Hebrew	eye, appearance, look; spring	ˁayin		(HALOT 817)	19
5547	Samalian	eye	ˁyn		(DNWSI 840)	19
5546	Deir Alla	eye	ˁyn		(DNWSI 840)	19
5548	Old Aramaic	eye	ˁyn		(DNWSI 840)	19
5549	Official Aramaic	eye	ˁyn		(DNWSI 840)	19
5552	Biblical Aramaic	eye	ˁēn- (suff.), ˁaynīn (pl.)		(HAL 1757)	19
5550	Palmyrean	eye	ˁyn		(DNWSI 840)	19
5551	Nabataean	eye	ˁyn		(DNWSI 840)	19
5542	Jewish Palestinian Aramaic	eye	ˁayn		(DJPA 403)	19
5555	Christian Palestinian Aramaic	eye	ˁyn, det. ˁynˀ		(DCPA 306)	19
5543	Jewish Babylonian Aramaic	eye	ˁaynā		(DJBA 855)	19
588	Syriac	eye; spring; bud, bulb; appearance, surface	ˁaynā		(LSyr. 522, SL 1097)	19
5541	Mandaic	eye	aina		(MD 15, 348)	19
5553	Maalula	Auge	ˁayna		(GNDM 4)	19
5554	Mlaḥso	Auge (eye)	ˁayno		(Jastrow 1994: 168)	19
15879	Turoyo	Auge; Quelle, Brunnen, Wasserhahn (eye; spring, well, tap)	ˁayno		(RW 5)	19
5539	Arabic	eye	ˁayn-		(Lane 2214, BK 2 425)	19
5556	Sabaic	eye	ˁyn		(SD 23)	19
5557	Minaean	eye	ˁyn		(LM 18)	19
11461	Qatabanian	sight	ˁyn		(LIQ 118)	19
5558	Geez	eye	ˁayn		(CDG 80)	19
5559	Tigre	eye	ˁən		(WTS 472)	19
5560	Tigrinya	eye	ˁayni		(TED 1913)	19
5561	Amharic	eye	ayn		(AED 1289)	19
11460	Argobba	eye	en		(Leslau 1997: 191)	19
5563	Harari	eye	īn		(EDH 27)	19
11455	Chaha	eye	en		(EDG 117)	19
11456	Ezha	eye	en		(EDG 117)	19
11457	Muher	eye	en		(EDG 117)	19
11458	Masqan	eye	en		(EDG 117)	19
11459	Gogot	eye	en		(EDG 117)	19
5562	Soddo	eye	in		(EDG 117)	19
974	Mehri	eye; spring of water; spy	ˀāyn		(ML 38)	19
2452	Jibbali	eye	ˁíhn		(JL 20)	19
	PS	full	*mlˀ		(CDG 342)	20
5727	Akkadian	full, covered, complete	malû		(CAD M₁ 173, AHw. 596)	20
504	Ugaritic	full	mlˀ		(DUL 545)	20
591	Hebrew	full	mālē(ˀ)		(HALOT 584)	20
5715	Jewish Palestinian Aramaic	full, plene spelling	mly		(DJPA 309)	20
5717	Christian Palestinian Aramaic	full	mlˀ, mly		(DCPA 225)	20
5718	Samaritan	full	mlˀ		(DSA 470)	20
5721	Jewish Babylonian Aramaic	full	mǝlē		(DJBA 679)	20
15941	Jewish Babylonian Aramaic	to be full	mly		(DJBA 678)	20
592	Syriac	full	mle		(LSyr. 388, SL 763)	20
15939	Syriac	to fill up	mly		(LSyr. 388, SL 768)	20
5722	Mandaic	full	malya		(MD 244)	20
15940	Mandaic	to fill, be full	mla		(MD 272)	20
15936	Turoyo	I. füllen (to fill)	mly		(JL 173)	20
15935	Turoyo	voll (full)	malyo		(RW 311)	20
5704	Geez	full	məluˀ		(CDG 342)	20
5706	Tigre	full	muluˀ		(WTS 108)	20
5707	Tigrinya	full	məluˀ		(TED 330)	20
5709	Amharic	full	məlu		(AED 141)	20
22904	Amharic	to fill	mälla		(AAD 140–141)	20
22903	Argobba	voll (full)	muliˀ		(Wetter 2010: 266, AAD 96)	20
5712	Harari	full	mulluˀ		(EDH 107)	20
22905	Harari	to fill	mälaˀa		(EDH 107)	20
22941	Selti	be full	mēlä		(EDG 401)	20
22940	Wolane	be full	melä		(EDG 401)	20
22944	Zway	be full	molā		(EDG 401)	20
22945	Chaha	be full	mäna		(EDG 401)	20
22946	Ezha	be full	männa		(EDG 401)	20
22948	Endegen	be full	meᵗna		(EDG 401)	20
22949	Ennemor	be full	mēnˀa		(EDG 401)	20
22950	Gyeto	be full	mēnˀa		(EDG 401)	20
22947	Muher	be full	männa		(EDG 401)	20
22939	Masqan	be full	mälla		(EDG 401)	20
22942	Gogot	be full	molla		(EDG 401)	20
5710	Soddo	full	mulä		(EDG 401)	20
22943	Soddo	be full	molla		(EDG 401)	20
989	Mehri	to be full	mīləˀ		(ML 265)	20
2460	Jibbali	full	míẑi		(JL 171)	20
7757	Soqotri	to be filled	míľi		(LS 243; CSOL I 609; CSOL II 535)	20
	PS	hair	*ŝaˁr-		(SED I No. 260)	21
5738	Akkadian	hair	šārtu		(CAD Š₂ 125, AHw. 1191)	21
17715	Ebla	pelo; capelli	sa-ra-du-um, sa-ra-tum		(Fronzaroli, Materiali per il lessico eblaita 180; Krebernik 1983: 35, VE 28)	21
8607	Ugaritic	wool	šˁrt		(WUS 312, UVST 183)	21
616	Hebrew	hairiness, body hair, hairy covering	ŝēˁār		(HALOT 1344)	21
6499	Biblical Aramaic	hair	ŝēˁār		(HALOT 1988)	21
6501	Jewish Palestinian Aramaic	hair	ŝˁr		(DJPA 571)	21
6500	Christian Palestinian Aramaic	hair	sˁār		(DCPA 291)	21
6502	Samaritan	hair	sˁr		(DSA 602)	21
6503	Jewish Babylonian Aramaic	hair	ŝaˁrā, sˁrˀ		(DJBA 1189)	21
617	Syriac	hair; feathers	saˁrā		(LSyr. 488, SL 1028)	21
6504	Mandaic	hair	sara		(MD 315)	21
17714	Maalula	Haare	saˁra		(GNDM 78)	21
15961	Turoyo	Haar (hair)	ṣaˁro		(RW 471)	21
25667	Hertevin	coiffured hair	ṣeˀra		(J Hert. 199)	21
4296	Arabic	hair	šaˁr-		(Lane 1560)	21
77	Geez	hair of body or head	ŝəˁərt		(CDG 525)	21
80	Harsusi	hair, wool	ŝōr		(HL 117)	21
81	Soqotri	hair, wool	ŝáˁyhor		(LS 432; Naumkin et al. 2015a:87)	21
	Proto-MSA	hair	*ŝip-at-		(Kogan 2015: 539)	22
993	Mehri	hair	ŝəft		(ML 373)	22
2464	Jibbali	hair	ŝfét		(JL 246)	22
25666	Harsusi	hair	ŝafēt		(HL 118 )	22
7476	Soqotri	1. hair; 2. wool	ŝfeʰ		(LS 432; CSOL I 664; CSOL II 597)	22
	PS	hand	*yad-		(SED I No. 291)	23
83	Akkadian	arm; side; edge, border	idu		(CAD I 10, AHw. 365)	23
506	Ugaritic	hand	yd		(DUL 990)	23
17197	Phoenician	hand	yd		(Tomback 1978: 123)	23
618	Hebrew	forearm, hand; power, violence, possession	yād		(HALOT 386)	23
17198	Samalian	hand	yd		(DNWSI 433)	23
17203	Deir Alla	hand	yd		(DNWSI 433)	23
17204	Old Aramaic	hand	yd		(DNWSI 433)	23
17202	Official Aramaic	hand	yd		(DNWSI 433)	23
17205	Demotic Aramaic	hand	yd		(DNWSI 1257)	23
17200	Palmyrean	hand	yd		(DNWSI 433)	23
17199	Nabataean	hand	yd		(DNWSI 433)	23
17201	Hatran	hand	yd		(DNWSI 433)	23
5897	Jewish Palestinian Aramaic	hand	yd, ˀyd		(DJPA 234)	23
5900	Christian Palestinian Aramaic	hand	ˀyd		(DCPA 12)	23
5896	Samaritan	hand	ˀd		(DSA 331)	23
5898	Jewish Babylonian Aramaic	hand, possession	ydā		(DJBA 523)	23
619	Syriac	hand, arm, forepaw; power	ˀidā		(LSyr. 295, SL 31)	23
5899	Mandaic	hand, side, power	ˁda		(MD 341)	23
