ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
2221	hebrew	(hitpo.) to vomit loudly	gˁš	gʕʃ	g ʕ ʃ		945	g - - ʕ - ʃ
592	ps	(jugular) vein, trachea	*warīd-	wariːd-	w a r iː d		192	w a - - r - iː - d -
3303	akkadian	(kind of worms or larvae)	ḫarsapnu	xarsapnu	x a r s a p n u		1628	x a r s a p n u
1164	akkadian	(kind of) bat	arkabu	arkabu	a r k a b u		504	- a r k a b u - -
3901	ps	(kind of) disease causing scales on the skin; leprosy	*š/sVl(V)ˁ-	ʃ	ʃ		1979	ʃ - - - - -
2421	ps	(kind of) skin disease	*ṣVrnVˁ-at-	sˤ-rn-ʕ-at-	sˤ r n ʕ a t		1006	sˤ - r n ʕ a - t -
2443	ps	(kind of) skin disease	*bVhVḳ-	b-h-qˤ-	b h qˤ		1011	b - h - qˤ - - -
2172	ugaritic	(light war) chariot; chariot body	mrkbt	mrkbt	m r k b t		897	m - r - k - b - t
918	ps	(lock/tuft of) hair, curl, fleece	*ˁidḳ-	ʕidqˤ-	ʕ i d qˤ		392	ʕ i d qˤ - - -
3391	ps	(long) hair, mane	*ga/umm(-at-)-	ga	g a		1656	g a - - - -
1410	ps	(meaning is uncertain)	*parr(-at)-	parr-	p a r r		594	p a r - - r -
2897	hebrew	(nip.) to be entangled with one another, to wrestle; to be tortuous, astute	ptl	ptl	p t l		1329	p - t - l -
3821	hebrew	(nip.) to be obstructed	skr	skr	s k r		1880	s - k - r -
3682	hebrew	(nip.) to be separated; (pi.) to split, to make a furrow	plg	plg	p l g		1805	p l g
1267	hebrew	(nip.) to breathe freely, recover	npš	npʃ	n p ʃ		540	- - n - - p - ʃ - -
52	hebrew	(nip., hip.) to provide drink for, to irrigate	šḳy	ʃqˤj	ʃ qˤ j		9	ʃ - qˤ - j -
2474	syriac	(pa.) to break wind	ˁrṭ	ʕrtˤ	ʕ r tˤ		1023	ʕ - r - tˤ -
667	syriac	(pa.) to exalt; to raise up	ˁly	ʕlj	ʕ l j		268	ʕ - l - j
2937	syriac	(pa.) to inflame, excite	bḥr	bħr	b ħ r		1381	b - ħ - r -
2197	syriac	(pa.) to oppress	ˁwḳ	ʕwqˤ	ʕ w qˤ		932	ʕ w qˤ
1570	syriac	(pa.) to pillage, steal; to draw out, extract	ḥlṣ	ħlsˤ	ħ l sˤ		653	ħ - l - sˤ - -
3784	syriac	(pa.) to sanctify, deem holy	ḳdš	qˤdʃ	qˤ d ʃ		1864	qˤ - - d - ʃ -
2701	ps	(part or bone of the) leg of animal	*gVd-at-	g-d-at-	g d a t		1095	- - - g - d a t -
1938	hebrew	(pi.) destroy	ḥlḳ	ħlqˤ	ħ l qˤ		794	ħ - l - qˤ -
3727	hebrew	(pi.) to bear firstfruits	bkr	bkr	b k r		1832	b - - k - r - -
2886	hebrew	(pi.) to break open arable soil, to dig furrows	ptḥ	ptħ	p t ħ		1326	p - t ħ -
2846	hebrew	(pi.) to bring good tidings	bšr	bʃr	b ʃ r		1312	b - - ʃ - r -
2892	hebrew	(pi.) to engrave	ptḥ	ptħ	p t ħ		1328	p - t - ħ - -
2623	hebrew	(pi.) to fan, winnow, sift	npy	npj	n p j		1065	n - p - j - -
3698	hebrew	(pi.) to penetrate, to perforate	plš	plʃ	p l ʃ		1819	p - l - ʃ -
3377	ps	(piece of) skin	*gu/alb-	gu	g u		1653	g u - - - -
1057	arabic	(pl. banātu ˀāwān) jackal	ˀibnu ˀāwan	ʔibnu	ʔ i b n u		481	ʔ i b n u -
892	arabic	(pl. ˀarāwiyy, ˀarwā) mountaingoat	ˀurwiyyat-	ʔurwijjat-	ʔ u r w i j j a t		382	ʔ u r w i j j a t
920	syriac	(pl. ˁedḳē; ˁetḳē) lock of hair; fringes	ˁedḳətā	ʕedqˤətaː	ʕ e d qˤ ə t aː		392	ʕ e d qˤ ə t aː
1173	syriac	(pl.) kleine Tierchen, die im Brunnen leben (small animals that live in a well)	ˁalḳe	ʕalqˤe	ʕ a l qˤ e		506	ʕ a - l - qˤ - e
2819	arabic	(pl.) malheur, adversité, infortune (misfortune, adversity)	dibār-	dibaːr-	d i b aː r		1224	d i b aː r - -
812	arabic	(pl.) nom d'oiseaux fabuleux (name of fabulous birds)	ˀabābīl-	ʔabaːbiːl-	ʔ a b aː b iː l		361	ʔ a b aː b iː l - -
4091	hebrew	(pu.) to be covered (with precious stones); to fall into a swoon, (hitpa.) to wrap oneself up; to become faint	ˁlp	ʕlp	ʕ l p		2083	ʕ - l - p -
2483	hebrew	(pu., hitp.) to behave like a madman	šgˁ	ʃgʕ	ʃ g ʕ		1025	ʃ - - g - ʕ
2464	hebrew	(qal, hitp.) to cough	šˁl	ʃʕl	ʃ ʕ l		1021	ʃ - ʕ - l -
660	hebrew	(qal, pi.) to love, to meet someone with love, to take pity on someone	rḥm	rħm	r ħ m		266	r - ħ - m - -
2013	ps	(stiff) hair	*γapar-	ɣapar-	ɣ a p a r		832	ɣ a p - a - r - - -
473	ps	(to be) good	*ṭyb/ṭwb	tˤjb	tˤ j b		116	tˤ - - j - b -
2143	ps	(to be) weak	*ˀnš	ʔnʃ	ʔ n ʃ		864	ʔ - n - ʃ -
973	ps	(type of a tree)	*bay(a)n-	bajn-	b a j n		407	b a j n -
3401	ps	(wild) cat	*dVm(V)m-	d-mm-	d m m		1660	d - m - m - -
890	ps	(wild) goat gazelle	*ˀarwiy-	ʔarwij-	ʔ a r w i j		382	ʔ a r w i - j - -
3523	ps	(young of) ungulate	*w/yaˁr-, *w/yarˁ-	w	w		1723	- - - - w -
3511	ps	(young) bull	*ṭaγ-	tˤaɣ-	tˤ a ɣ		1718	tˤ a ɣ - - -
2673	hebrew	(young) ram	kar	kar	k a r		1077	k a - r -
344	ps	- water	*mā̆y	maj	m a j		71	m a - j - -
3738	arabic	= rašaḥa 'to leak, to ooze (of water)'	baṣṣa l-māˀu	basˤsˤa	b a sˤ sˤ a		1834	b a sˤ - sˤ a -
735	ps	?	*šry/šrw	ʃrj	ʃ r j		338	ʃ - r - j -
2502	hebrew	???	kallā	kallaː	k a l l aː		1034	k a l l aː - -
803	ugaritic	Appetit, Begehren; Seele; Lebewesen, Mensch (appetit, desire; soul; living thing; human)	npš	npʃ	n p ʃ		356	n - p - ʃ - -
1724	ugaritic	Brust	dd	dd	d d		721	d - - d - - -
3960	ugaritic	D. to oppress, to subdue	dll	dll	d l l		2000	d - l - l -
3967	akkadian	D. to pulverize, to crash	duḳḳuḳu	duqˤqˤuqˤu	d u qˤ qˤ u qˤ u		2004	d u qˤ qˤ u qˤ u
2908	akkadian	Darm	erru	erru	e r r u		1336	- e r r u
2278	akkadian	Entzündung	ḳidḫu	qˤidxu	qˤ i d x u		964	qˤ i - d - x - - u
143	akkadian	I	anāku	anaːku	a n aː k u		30	- a n aː k u
148	arabic	I	ˀana	ʔana	ʔ a n a		30	ʔ a n - - a
149	geez	I	ˀana	ʔana	ʔ a n a		30	ʔ a n - - a
145	hebrew	I	ˀănī	ʔăniː	ʔ ă n iː		30	ʔ ă n - - iː
146	hebrew	I	ˀānōkī	ʔaːnoːkiː	ʔ aː n oː k iː		30	ʔ aː n oː k iː
142	ps	I	*ˀanāku/ˀanV	ʔanaːku	ʔ a n aː k u		30	ʔ a n aː k u
147	syriac	I	ˀenā	ʔenaː	ʔ e n aː		30	ʔ e n - - aː
144	ugaritic	I	ˀan, ˀank	ʔan	ʔ a n		30	ʔ a n - - -
407	geez	I do not know; perhaps, probably	ˀəndāˁi	ʔəndaːʕi	ʔ ə n d aː ʕ i		90	ʔ ə n d aː ʕ i
2763	arabic	II. avoir les membres du corps lâches, sans vigeur (to have loose body members, without vigor)	fšḫ	fʃx	f ʃ x		1119	f - ʃ x - - -
2281	arabic	II. s’enfoncer dans l’orbite (se dit de l’oeil); amaigrir exprès (son cheval) (to sink into the orbit (said of the eye); to lose weight on purpose (of horse)	qdḥ	qdħ	q d ħ		964	q - - d - ħ - - -
578	arabic	II. to appoint as one’s deputy	wkl	wkl	w k l		168	- - w - - k - l -
2847	arabic	II. to bring good tidings	bšr	bʃr	b ʃ r		1312	b - - ʃ - r -
3211	arabic	II. to collect	ǯmr	gmr	g m r		1597	- - g - m - r -
678	arabic	II. to delay, postpone; to make smb retreat; to be late; go back	ˀḫr	ʔxr	ʔ x r		290	ʔ - - x - r -
2258	arabic	II. to feed the woman on the occasion of childbirth	ḫrs	xrs	x r s		960	x - r - s -
3785	arabic	II. to sanctify, consecrate, purify	qds	qds	q d s		1864	q - - d - s -
3187	arabic	III. to double	ḍˁf	dˤʕf	dˤ ʕ f		1591	dˤ ʕ - - - f -
3191	arabic	III. to flee	blṭ	bltˤ	b l tˤ		1592	b - l - tˤ -
3569	arabic	III. to vie, to compete for superiority; to emulate, to rival, to imitate	bry	brj	b r j		1737	- - b - r - j -
2276	arabic	IV. avoir du lait (se dit d'une chamelle) (to have milk (said of a camel)	ḫyl	xjl	x j l		962	x - - j - l - -
2757	arabic	IV. to be violent and drive along the dust and pebbles (about wind)	nsb	nsb	n s b		1117	n - s - - b -
536	arabic	IV. to become dark	ḏ̣lm	ðˤlm	ðˤ l m		145	ðˤ - - l - m - - - -
3616	arabic	IV. to blame, to censure	fry	frj	f r j		1754	f - r - j
2662	arabic	IV. to boil unripe dates	bsl	bsl	b s l		1071	b - s - l -
2817	arabic	IV. to go backward, to a bad state; to die	dbr	dbr	d b r		1224	d - b - r - -
2877	arabic	IV. to split, to cleave	frr	frr	f r r		1321	f - r - r -
3019	akkadian	Kopffell (?); Fell an Hornwurzel	sappartu	sappartu	s a p p a r t u		1494	s a - - p p a r t u
3562	akkadian	Kranich (crane)	urnīḳu	urniːqˤu	u r n iː qˤ u		1735	- u r n iː qˤ u
3369	arabic	Numidian crane	kurkiyy-	kurkijj-	k u r k i j j		1650	k u r - k i j j -
3494	hebrew	Saraph serpent	ŝārāp	ɬaːraːp	ɬ aː r aː p		1708	ɬ aː r aː p
2199	akkadian	Taumelnder	dāwû	daːwû	d aː w û		939	- d aː w - - û
1269	arabic	V. to breathe	tanaffasa	tanaffasa	t a n a f f a s a		540	t a n a f f a s - a
2566	arabic	V. to smack one’s lips	mṭq	mtˤq	m tˤ q		1049	m - - tˤ - q -
2307	arabic	V. to wish, desire	mny	mnj	m n j		972	- - m - - n - - j - -
3586	arabic	VII. to be dislocated (the head of the humerus from its scapula), to be lax or slack (the shoulderjoint)	frk	frk	f r k		1744	f - r - k -
3889	arabic	VII. to become lean, emaciated; VIII. to become poor, in want or need	fwq	fwq	f w q		1950	f - w - q -
3622	ps	a (mythical) aquatic reptile	*kVS-	k---	k		1758	k - - - -
811	akkadian	a bird	ibbiltu	ibbiltu	i b b i l t u		361	- i b - b i l t u
825	akkadian	a bird	anpatu	anpatu	a n p a t u		365	- a n - p a t u
2681	akkadian	a bird	enšupu	enʃupu	e n ʃ u p u		1080	- e n ʃ u p u
2692	akkadian	a bird	tarru	tarru	t a r r u		1087	t a r r u
3306	akkadian	a bird	nēru	neːru	n eː r u		1629	n eː - - r u
3337	akkadian	a bird	naṣnaṣu	nasˤnasˤu	n a sˤ n a sˤ u		1641	n a sˤ n a sˤ u -
3443	akkadian	a bird	gamgammu	gamgammu	g a m g a m m u		1689	g a m g a m m u
3552	akkadian	a bird	ḳāḳû	qˤaːqˤû	qˤ aː qˤ û		1732	qˤ aː qˤ - - - - û -
3324	hebrew	a bird fattened to be eaten by king Solomon	barbūr	barbuːr	b a r b uː r		1636	b a r b uː r
827	syriac	a bird; large vulture, eagle	ˀanpā	ʔanpaː	ʔ a n p aː		365	ʔ a n - p - - aː
3820	ugaritic	a bolt	skr	skr	s k r		1880	s - k - r -
2671	akkadian	a breed of sheep(?)	kirru	kirru	k i r r u		1077	k i r r u
2813	akkadian	a calamity	dibiru	dibiru	d i b i r u		1224	d i b i r u -
586	arabic	a certain land ... extending to the sea (Tihámeh)	tihāmat-	tihaːmat-	t i h aː m a t		171	t i h aː m a t -
2188	arabic	a child, son, young one	walad-	walad-	w a l a d		901	w a l a d -
4058	akkadian	a cripple	kuṣṣudu	kusˤsˤudu	k u sˤ sˤ u d u		2047	k u sˤ sˤ u d u
1010	ps	a cultivated plant, shoot, seed, grain, cereal, vegetable	*bVḳl-	b-qˤl-	b qˤ l		434	b - - qˤ - l -
1742	hebrew	a designation of Noah’s Ark	ṣōhar	sˤoːhar	sˤ oː h a r		726	sˤ oː h a r -
2810	akkadian	a disease (affecting the head, vision, etc.)	ašû	aʃû	a ʃ û		1220	- a ʃ û -
3496	akkadian	a dove	suššuru	suʃʃuru	s u ʃ ʃ u r u		1709	s u ʃ ʃ u r u
3637	akkadian	a falcon	kasūsu, kassūsu	kasuːsu	k a s uː s u		1765	k a s uː s u
661	hebrew	a feeling of love, loving sensation, mercy	raḥămīm	raħămiːm	r a ħ ă m iː m		266	r a ħ ă m iː m
1110	akkadian	a fine breed of sheep	alu	alu	a l u		495	- a - - l u
2200	akkadian	a grave disease characterized by a headache	diˀu	diʔu	d i ʔ u		939	- d i ʔ - - u
2668	akkadian	a green winged insect; a bird	ḫanzizītu	xanziziːtu	x a n z i z iː t u		1076	x a n z - - i z iː t u
1255	arabic	a hole dug in the ground in which to cook; a place in which fire is lighted	b1ˀrat-	bʔrat-	b ʔ r a t		534	b - - ʔ - r a t
3405	hebrew	a kind of bird (swallow, dove)	dərōr	dəroːr	d ə r oː r		1669	d ə r oː r - -
4014	ps	a kind of enclosure	*dVwr-	d-wr-	d w r		2023	d - w r - -
1972	arabic	a kind of mushroom	kamˀat-	kamʔat-	k a m ʔ a t		811	k a m ʔ a t -
1970	ps	a kind of mushroom	*kamˀ-at-	kamʔ-at-	k a m ʔ a t		811	k a m ʔ a t -
3653	akkadian	a kind of owl	akkû	akkû	a k k û		1785	a k k û
4111	ps	a kind of slime	γaṣ̂arat-	ɣaɬˤarat-	ɣ a ɬˤ a r a t		2089	ɣ a ɬˤ a r a t -
992	arabic	a kind of tree	ˀalāˀ-	ʔalaːʔ-	ʔ a l aː ʔ		415	ʔ a - l aː ʔ -
990	hebrew	a large tree; oak(?)	ˀēlōn	ʔeːloːn	ʔ eː l oː n		415	ʔ eː - l oː n -
986	hebrew	a large tree; terebinth(?)	ˀēlā	ʔeːlaː	ʔ eː l aː		414	ʔ eː - - l aː
3292	ps	a large wild cat	*mV(n)dīn-	m-diːn-	m d iː n		1624	- - - m - - d iː n -
3649	hebrew	a linear measure, short cubit	gōmäd	goːmæd	g oː m æ d		1779	g oː - m æ - d - -
3317	akkadian	a locust	ḫilammu	xilammu	x i l a m m u		1633	x i l a m m u
3413	akkadian	a locust	saḫṭu	saxtˤu	s a x tˤ u		1676	s a x - tˤ u
3399	akkadian	a locust or bird; eine Art Heuschrecke (kind of grasshopper)	dimītu	dimiːtu	d i m iː t u		1659	d i - m iː t u
1621	akkadian	a louse	nābu	naːbu	n aː b u		674	n aː b u
3290	akkadian	a louse affecting cloth, animals and people; a moth	miḳḳānu	miqˤqˤaːnu	m i qˤ qˤ aː n u		1623	m i qˤ qˤ aː n u
686	ugaritic	a marine animal	ˀanḫr	ʔanxr	ʔ a n x r		314	ʔ a n - x - r -
3778	akkadian	a mark	šimtu	ʃimtu	ʃ i m t u		1863	- ʃ i m t u
2434	akkadian	a mark of discoloration on the skin	ibāru	ibaːru	i b aː r u		1009	- i b aː r - - - u -
2431	akkadian	a mole or wart	umṣatu	umsˤatu	u m sˤ a t u		1008	- u m - - sˤ a t u
893	ps	a mythical reptile, dragon	*ˀaṯ(h)al-	ʔaθal-	ʔ a θ a l		383	ʔ a - θ a l - -
1898	akkadian	a mythical seamonster	laḫmu	laxmu	l a x m u		785	l a x m u
3453	akkadian	a nocturnal bird	ṣallalu	sˤallalu	sˤ a l l a l u		1692	sˤ a l l a l u
3408	hebrew	a parasite worm in the bowels	dūrā (dawwārā)	duːraː	d uː r aː		1674	d uː r aː
3035	akkadian	a part of the intestinal tract	surummu	surummu	s u r u m m u		1506	s u r u m m u
2700	akkadian	a part of the liver	danānu	danaːnu	d a n aː n u		1093	d a n aː n u
3947	arabic	a particular law, a statute, an ordinance, a law	dīn-	diːn-	d iː n		1991	d iː - - n -
921	arabic	a piece of colored wool that is hung around the neck of an animal to recognize it	ˁaḏqat-, ˁiḏqat-	ʕaðqat-	ʕ a ð q a t		392	ʕ a ð q a t -
3852	arabic	a place on the back of the head where the hair ends; area of the breast where the ribs meet	qaṣāṣ-, quṣāṣ-, qiṣāṣ-	qasˤaːsˤ-	q a sˤ aː sˤ		1910	q a - - sˤ aː sˤ
1042	arabic	a plant belonging to cucurbits	qiṯṯāˀ-, quṯṯāˀ-	qiθθaːʔ-	q i θ θ aː ʔ		478	q i θ θ aː ʔ - -
3902	akkadian	a pockmark or wart	šullu	ʃullu	ʃ u l l u		1979	ʃ u l l u -
3140	arabic	a ring of gold or silver, an earring	ḫurṣ-/ḫirṣ-	xursˤ-	x u r sˤ		1571	x u r - sˤ -
4132	arabic	a ring or collar of iron, which is put upon the neck	γull-	ɣull-	ɣ u l l		2095	ɣ u l - l -
2893	arabic	a ring without a stone	fatḫat-	fatxat-	f a t x a t		1328	f a t - x a t
1395	arabic	a rope in which are two colors	barīm-	bariːm-	b a r iː m		579	b a r iː m - - -
3799	akkadian	a saw	šaššāru	ʃaʃʃaːru	ʃ a ʃ ʃ aː r u		1867	ʃ a ʃ ʃ aː r u
3800	hebrew	a saw	maŝŝōr	maɬɬoːr	m a ɬ ɬ oː r		1867	m a ɬ ɬ oː r -
21	arabic	a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein	faḫūr-	faxuːr-	f a x uː r		3	f a x uː r -
2413	akkadian	a skin disease	epḳennu	epqˤennu	e p qˤ e n n u		1004	- e p - qˤ e n n u -
2422	akkadian	a skin disease	ṣernettu	sˤernettu	sˤ e r n e t t u		1006	sˤ e r - n e t t u
2402	akkadian	a skin eruption	lamṣatu	lamsˤatu	l a m sˤ a t u		1002	l a m sˤ a t u
3396	akkadian	a small animal, probably a frog	dālilu	daːlilu	d aː l i l u		1658	d aː - l i l u
3397	akkadian	a small animal, probably a frog	dallālu	dallaːlu	d a l l aː l u		1658	d a l l aː l u
3100	arabic	a small arrow	ḥaḏ̣w-at-/ḥuḏ̣w-at-/ḥiḏ̣w-at-	ħaðˤw-at-	ħ a ðˤ w a t		1559	ħ a ðˤ w a t
3497	arabic	a small bird	šaršūr-	ʃarʃuːr-	ʃ a r ʃ uː r		1709	ʃ a r ʃ uː r -
3537	hebrew	a small creatures that ruin the fields	zīz	ziːz	z iː z		1726	z iː z - - -
828	ps	a small predatory mammal	*ˀVnar-, *ˀVran-	ʔ-nar-	ʔ n a r		366	ʔ - - - n a r
3143	ugaritic	a smith’s tongs	mṣbṭ	msˤbtˤ	m sˤ b tˤ		1573	m sˤ - b - tˤ -
3646	arabic	a snail	qawqan-	qawqan-	q a w q a n		1778	q a w q a n -
841	hebrew	a snake	ˀäpˁǟ	ʔæpʕæː	ʔ æ p ʕ æː		368	ʔ æ p ʕ æː -
2686	akkadian	a snake	šibbu	ʃibbu	ʃ i b b u		1084	ʃ i b b u
3436	akkadian	a snake	šammānu	ʃammaːnu	ʃ a m m aː n u		1687	ʃ a m - m aː n u
1583	akkadian	a snake or lizard	ḫulmiṭṭu	xulmitˤtˤu	x u l m i tˤ tˤ u		659	x u l m i tˤ - tˤ u
3321	akkadian	a species of crested bird	bulīlu	buliːlu	b u l iː l u		1635	b u l - iː l u
3261	arabic	a species of partrige	yaˁsūb-	jaʕsuːb-	j a ʕ s uː b		1610	j a ʕ s uː b -
3500	hebrew	a species of spider	šībay	ʃiːbaj	ʃ iː b a j		1711	ʃ iː b a j - - -
4107	arabic	a strap in the leathern waterbag	γubṭat-	ɣubtˤat-	ɣ u b tˤ a t		2087	ɣ u b - tˤ a t
4182	arabic	a thing made obligatory or binding by God	farḍ-	fardˤ-	f a r dˤ		2140	f a r dˤ -
2786	akkadian	a type of  shoe	mešēnu	meʃeːnu	m e ʃ eː n u		1193	m e ʃ eː n u
2211	akkadian	a type of extatic	zabbu	zabbu	z a b b u		940	z a b - b u
1564	hebrew	a venomous serpent	pätän	pætæn	p æ t æ n		650	p æ t - æ n -
3725	arabic	a virgin; a woman that withholds herself from men	batūl-	batuːl-	b a t uː l		1831	b a t uː l - -
3420	akkadian	a wading bird	saḳātu	saqˤaːtu	s a qˤ aː t u		1678	s a qˤ aː t u
2403	arabic	a whiteness in the lower lip of a horse	lamaḏ̣-, lumḏ̣at-	lamaðˤ-	l a m a ðˤ		1002	l a m - a ðˤ -
3402	akkadian	a wild animal; Gepard (cheetah)	dumāmu (tumāmu)	dumaːmu	d u m aː m u		1660	d u m aː m u -
1409	arabic	a wild hoofed animal	laˀaⁿ, laˀāt-	laʔa	l a ʔ a		591	l a ʔ - - a -
1523	ps	a wild ruminant	*na(ya)l-	nal-	n a l		629	n a - - l -
1525	ps	a wild ruminant	*bVb(b)-	b-b-	b b		630	b - - b -
3309	arabic	a young camel when just born	ḥuwār-, ḥiwār-	ħuwaːr-	ħ u w aː r		1630	ħ u w aː r
4079	arabic	a youth	ṣabiyy-	sˤabijj-	sˤ a b i j j		2075	sˤ a b i j - j
1126	akkadian	a ﬁsh	abūtu	abuːtu	a b uː t u		498	- a b uː t u
1737	syriac	abdomen, omassum	ḥumšā	ħumʃaː	ħ u m ʃ aː		724	ħ u m - ʃ aː
2074	hebrew	abomasum, stomach	ḳēbā	qˤeːbaː	qˤ eː b aː		850	qˤ eː - - - b aː - -
2969	syriac	above, upon	ˁal	ʕal	ʕ a l		1390	- - ʕ a l - -
2971	geez	above; against; on, upon, over; about, concerning	lāˁla/laˁal	laːʕla	l aː ʕ l a		1390	l aː ʕ - l a -
2915	arabic	abundance of hair	zabb-, zabab	zabb-	z a b b		1341	z a b - b -
3212	geez	accomplish, complete, perfect,  consummate; bring to an end; contain, comprehend, include completely	ˀagmara	ʔagmara	ʔ a g m a r a		1597	ʔ a g - m a r a
1565	syriac	adder, asp	patnā	patnaː	p a t n aː		650	p a t - - n aː
843	geez	adder, viper	ˀafˁot	ʔafʕot	ʔ a f ʕ o t		368	ʔ a f ʕ o t
1829	akkadian	after, behind	warki	warki	w a r k i		758	w a r - k - - i
1814	hebrew	afterbirth	šilyā	ʃiljaː	ʃ i l j aː		753	ʃ i - l j aː - -
1811	ps	afterbirth	*šily-at-	ʃilj-at-	ʃ i l j a t		753	ʃ i - l j a t -
