ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID	FORM	ALIGNMENT
53	Geez	to provide enough water	saḳaya	s a qˤ a y a	(CDG 511)	9	saqˤaya	^ s a qˤ a y a $
54	PS	nail, claw	*ṯ̣ipr-	θˤ i p r	(SED I No. 285)	10	θˤipr-	^ θˤ i p r - $
55	Akkadian	claw	ṣupru	sˤ u p r u	(CAD Ṣ 250, AHw. 1113)	10	sˤupru	^ sˤ u p r u $
56	Hebrew	nail	ṣippōrän	sˤ i p p oː r æ n	(HALOT 1051)	10	sˤippoːræn	^ sˤ i p p oː r æ n $
57	Syriac	nail, claw, talon	ṭeprā	tˤ e p r aː	(LSyr. 286, SL 548)	10	tˤepraː	^ tˤ e p r aː $
58	Arabic	nail	ḏ̣ifr-	ðˤ i f r	(BK 2 135, Lane 1912)	10	ðˤifr-	^ ðˤ i f r - $
59	Geez	claw	ṣəfr	sˤ ə f r	(CDG 549)	10	sˤəfr	^ sˤ ə f r $
60	PS	ear	*ˀuḏn-	ʔ u ð n	(SED I No. 4)	14	ʔuðn-	^ ʔ u ð n - $
61	Akkadian	ear	uznu	u z n u	(CAD U–W 362, AHw. 1447)	14	uznu	^ u z n u $
62	Ugaritic	ear	ˀudn	ʔ u d n	(DUL 20)	14	ʔudn	^ ʔ u d n $
63	Hebrew	ear	ˀōzän	ʔ oː z æ n	(HALOT 27)	14	ʔoːzæn	^ ʔ oː z æ n $
64	Syriac	ear, bay of the sea, handle, opening of a bottle	ˀednā	ʔ e d n aː	(LSyr. 6, SL 10)	14	ʔednaː	^ ʔ e d n aː $
65	Arabic	ear	ˀuḏn-	ʔ u ð n	(Lane 45)	14	ʔuðn-	^ ʔ u ð n - $
66	Geez	ear	ˀəzn	ʔ ə z n	(LGz. 52)	14	ʔəzn	^ ʔ ə z n $
67	PS	to eat	*ˀkl	ʔ k l	(Fronzaroli 1971: 609, 631; HALOT 46; Kogan 2011: 238)	15	ʔkl	^ ʔ k l $
68	Akkadian	to eat	akālu	a k aː l u	(CAD A₁ 245)	15	akaːlu	^ a k aː l u $
69	Ugaritic	to consume, to devour	ˀkl	ʔ k l	(DUL 43)	15	ʔkl	^ ʔ k l $
70	Hebrew	to eat	ˀkl	ʔ k l	(HALOT 46)	15	ʔkl	^ ʔ k l $
71	Syriac	to eat, to consume; to itch	ˀkl	ʔ k l	(LSyr. 17, SL 41)	15	ʔkl	^ ʔ k l $
72	Arabic	to eat	ˀkl	ʔ k l	(Lane 71)	15	ʔkl	^ ʔ k l $
73	PS	food, bread, grain	*ˀukl-/*ˀikl-	ʔ u k l	(CDG 15)	17	ʔukl-	^ ʔ u k l - $
74	Akkadian	bread	akalu	a k a l u	(CAD A₁ 238, AHw. 26)	17	akalu	^ a k a l u $
75	Ugaritic	grain, fodder	ˀakl	ʔ a k l	(DUL 44)	17	ʔakl	^ ʔ a k l $
76	Geez	food, bread, corn	ˀəkl	ʔ ə k l	(CDG 15)	17	ʔəkl	^ ʔ ə k l $
77	PS	eye	*ˁayn-	ʕ a y n	(SED I No. 28)	19	ʕayn-	^ ʕ a y n - $
78	Akkadian	eye	īnu	iː n u	(CAD I 153, AHw. 353)	19	iːnu	^ iː n u $
79	Ugaritic	eye	ˁn	ʕ n	(DUL 168)	19	ʕn	^ ʕ n $
80	Ugaritic	to see	ˁn	ʕ n	(DUL 167)	19	ʕn	^ ʕ n $
81	Hebrew	eye, appearance, look; spring	ˁayin	ʕ a y i n	(HALOT 817)	19	ʕayin	^ ʕ a y i n $
82	Syriac	eye; spring; bud, bulb; appearance, surface	ˁaynā	ʕ a y n aː	(LSyr. 522, SL 1097)	19	ʕaynaː	^ ʕ a y n aː $
83	Arabic	eye	ˁayn-	ʕ a y n	(Lane 2214, BK 2 425)	19	ʕayn-	^ ʕ a y n - $
84	Geez	eye	ˁayn	ʕ a y n	(CDG 80)	19	ʕayn	^ ʕ a y n $
85	PS	full	*mlˀ	m l ʔ	(CDG 342)	20	mlʔ	^ m l ʔ $
86	Akkadian	full, covered, complete	malû	m a l û	(CAD M₁ 173, AHw. 596)	20	malû	^ m a l û $
87	Ugaritic	full	mlˀ	m l ʔ	(DUL 545)	20	mlʔ	^ m l ʔ $
88	Hebrew	full	mālē(ˀ)	m aː l eː	(HALOT 584)	20	maːleː	^ m aː l eː $
89	Syriac	full	mle	m l e	(LSyr. 388, SL 763)	20	mle	^ m l e $
90	Syriac	to fill up	mly	m l y	(LSyr. 388, SL 768)	20	mly	^ m l y $
91	Geez	full	məluˀ	m ə l u ʔ	(CDG 342)	20	məluʔ	^ m ə l u ʔ $
92	PS	hair	*ŝaˁr-	ɬ a ʕ r	(SED I No. 260)	21	ɬaʕr-	^ ɬ a ʕ r - $
93	Akkadian	hair	šārtu	ʃ aː r t u	(CAD Š₂ 125, AHw. 1191)	21	ʃaːrtu	^ ʃ aː r t u $
94	Ugaritic	wool	šˁrt	ʃ ʕ r t	(WUS 312, UVST 183)	21	ʃʕrt	^ ʃ ʕ r t $
95	Hebrew	hairiness, body hair, hairy covering	ŝēˁār	ɬ eː ʕ aː r	(HALOT 1344)	21	ɬeːʕaːr	^ ɬ eː ʕ aː r $
96	Syriac	hair; feathers	saˁrā	s a ʕ r aː	(LSyr. 488, SL 1028)	21	saʕraː	^ s a ʕ r aː $
97	Arabic	hair	šaˁr-	ʃ a ʕ r	(Lane 1560)	21	ʃaʕr-	^ ʃ a ʕ r - $
98	Geez	hair of body or head	ŝəˁərt	ɬ ə ʕ ə r t	(CDG 525)	21	ɬəʕərt	^ ɬ ə ʕ ə r t $
99	PS	hand	*yad-	y a d	(SED I No. 291)	23	yad-	^ y a d - $
100	Akkadian	arm; side; edge, border	idu	i d u	(CAD I 10, AHw. 365)	23	idu	^ i d u $
101	Ugaritic	hand	yd	y d	(DUL 990)	23	yd	^ y d $
102	Hebrew	forearm, hand; power, violence, possession	yād	y aː d	(HALOT 386)	23	yaːd	^ y aː d $
103	Syriac	hand, arm, forepaw; power	ˀidā	ʔ i d aː	(LSyr. 295, SL 31)	23	ʔidaː	^ ʔ i d aː $
104	Geez	hand	ˀəd	ʔ ə d	(CDG 7)	23	ʔəd	^ ʔ ə d $
105	PS	head	*raˀš-	r a ʔ ʃ	(SED I No. 225)	24	raʔʃ-	^ r a ʔ ʃ - $
106	Akkadian	head; servant, slave; top, summit; beginning	rēšu	r eː ʃ u	(CAD R 277, AHw. 973)	24	reːʃu	^ r eː ʃ u $
107	Ugaritic	head	rˀiš	r ʔ i ʃ	(DUL 724)	24	rʔiʃ	^ r ʔ i ʃ $
108	Hebrew	head; person; beginning; leader, chief	rō(ˀ)š	r oː ʃ	(HALOT 1164)	24	roːʃ	^ r oː ʃ $
109	Syriac	head; top, summit; point; beginning	rešā	r e ʃ aː	(LSyr. 728, SL 1462)	24	reʃaː	^ r e ʃ aː $
110	Arabic	head	raˀs­-	r a ʔ s	(Lane 995, BK 1 793)	24	raʔs-	^ r a ʔ s - $
111	Geez	head	rəˀs	r ə ʔ s	(CDG 458)	24	rəʔs	^ r ə ʔ s $
112	PS	skull	*ḳVdḳVd-	qˤ d qˤ d	(SED I No. 159)	25	qˤ-dqˤ-d-	^ qˤ - d qˤ - d - $
113	Akkadian	head	ḳaḳḳadu	qˤ a qˤ qˤ a d u	(CAD Q 100, AHw. 899)	25	qˤaqˤqˤadu	^ qˤ a qˤ qˤ a d u $
114	Ugaritic	skull, crown	ḳdḳd	qˤ d qˤ d	(DUL 694)	25	qˤdqˤd	^ qˤ d qˤ d $
115	Hebrew	skull	ḳodḳōd	qˤ o d qˤ oː d	(HALOT 1071)	25	qˤodqˤoːd	^ qˤ o d qˤ oː d $
116	Arabic	part of the back of the neck that is between the ears	maqadd-, muqadd­-	m a q a d d	(BK 2 683, Lane 2492)	25	maqadd-	^ m a q a d d - $
117	PS	to hear	*šmˁ	ʃ m ʕ	(CDG 501, Kogan 2015: 32)	26	ʃmʕ	^ ʃ m ʕ $
118	Akkadian	to hear, to listen, to obey	šemû	ʃ e m û	(CAD Š₂ 277, AHw. 1211)	26	ʃemû	^ ʃ e m û $
119	Ugaritic	to hear	šmˁ	ʃ m ʕ	(DUL 823)	26	ʃmʕ	^ ʃ m ʕ $
120	Hebrew	to hear; to obey; to understand	šmˁ	ʃ m ʕ	(HALOT 1570)	26	ʃmʕ	^ ʃ m ʕ $
121	Syriac	to hear, listen to; to hearken; to obey	šmˁ	ʃ m ʕ	(LSyr. 786, SL 1574)	26	ʃmʕ	^ ʃ m ʕ $
122	Geez	to hear	samˁa	s a m ʕ a	(CDG 501)	26	samʕa	^ s a m ʕ a $
123	PS	heart	*libb-	l i b b	(SED I No. 174)	27	libb-	^ l i b b - $
124	Akkadian	heart	libbu	l i b b u	(CAD L 164, AHw. 549)	27	libbu	^ l i b b u $
125	Ugaritic	heart	lb	l b	(DUL 489)	27	lb	^ l b $
126	Hebrew	heart; one's inner self; inclination, disposition, will, intention; reason	lēb	l eː b	(HALOT 513)	27	leːb	^ l eː b $
127	Syriac	heart, inside of the body; center, pith, inside; cake	lebbā	l e b b aː	(LSyr. 354, SL 666)	27	lebbaː	^ l e b b aː $
128	Arabic	what is in the inside; understanding, intelligence, mind	lubb-	l u b b	(Lane 2643)	27	lubb-	^ l u b b - $
129	Geez	heart; mind	ləbb	l ə b b	(CDG 305)	27	ləbb	^ l ə b b $
130	PS	heart, middle of the body	*ḳalb-/*ḳabl-	qˤ a l b	(SED I No. 161)	28	qˤalb-	^ qˤ a l b - $
131	Akkadian	middle, center, middle part	ḳablu	qˤ a b l u	(CAD Q 6, AHw. 887)	28	qˤablu	^ qˤ a b l u $
132	Arabic	heart	qalb-	q a l b	(Lane 2553)	28	qalb-	^ q a l b - $
133	Geez	thought, wish	ḳalb	qˤ a l b	(CDG 427)	28	qˤalb	^ qˤ a l b $
134	PS	horn	*ḳarn-	qˤ a r n	(SED I No. 168)	29	qˤarn-	^ qˤ a r n - $
135	Akkadian	horn	ḳarnu	qˤ a r n u	(CAD Q 134, AHw. 904)	29	qˤarnu	^ qˤ a r n u $
136	Ugaritic	horn	ḳrn	qˤ r n	(DUL 170)	29	qˤrn	^ qˤ r n $
137	Hebrew	horn	ḳärän	qˤ æ r æ n	(HALOT 1144)	29	qˤæræn	^ qˤ æ r æ n $
138	Syriac	horn	ḳarnā	qˤ a r n aː	(LSyr. 697, SL 1412)	29	qˤarnaː	^ qˤ a r n aː $
139	Arabic	horn	qarn-	q a r n	(BK 2 727, Lane 2987)	29	qarn-	^ q a r n - $
140	Geez	horn	ḳarn	qˤ a r n	(CDG 442)	29	qˤarn	^ qˤ a r n $
141	PS	I	*ˀanāku/ˀanV	ʔ a n aː k u	(CDG 26, Kogan 2015: 32)	30	ʔanaːku	^ ʔ a n aː k u $
142	Akkadian	I	anāku	a n aː k u	(CAD A₂ 106, AHw. 49)	30	anaːku	^ a n aː k u $
143	Ugaritic	I	ˀan, ˀank	ʔ a n	(DUL 76)	30	ʔan	^ ʔ a n $
144	Hebrew	I	ˀănī	ʔ ă n iː	(HALOT 72)	30	ʔăniː	^ ʔ ă n iː $
145	Hebrew	I	ˀānōkī	ʔ aː n oː k iː	(HALOT 71‒72)	30	ʔaːnoːkiː	^ ʔ aː n oː k iː $
146	Syriac	I	ˀenā	ʔ e n aː	(LSyr. 27, SL 58)	30	ʔenaː	^ ʔ e n aː $
147	Arabic	I	ˀana	ʔ a n a	(Lane 103)	30	ʔana	^ ʔ a n a $
148	Geez	I	ˀana	ʔ a n a	(CDG 26)	30	ʔana	^ ʔ a n a $
149	PS	knee	*bi/ark-	b i	(SED I No. 39)	31	bi	^ b i $
150	Akkadian	knee, lap	birku, burku	b i r k u	(CAD B 255, AHw. 129)	31	birku	^ b i r k u $
151	Ugaritic	knee	brk	b r k	(DUL 237)	31	brk	^ b r k $
152	Hebrew	knee	bäräk	b æ r æ k	(HALOT 160)	31	bæræk	^ b æ r æ k $
153	Syriac	knee; bowing down, genuflection; middle part of plow	burkā	b u r k aː	(LSyr. 96, SL 131)	31	burkaː	^ b u r k aː $
154	Arabic	to kneel	bārikat-­	b aː r i k a t	(Lane 193, BK 1 116)	31	baːrikat-	^ b aː r i k a t - $
155	Geez	knee	bərk	b ə r k	(CDG 105)	31	bərk	^ b ə r k $
156	PS	liver	*kabid-	k a b i d	(SED I No. 141)	33	kabid-	^ k a b i d - $
157	Akkadian	emotions, thought, mind, spirit	kabattu	k a b a t t u	(CAD K 11, AHw. 416)	33	kabattu	^ k a b a t t u $
158	Ugaritic	liver	kbd	k b d	(DUL 424)	33	kbd	^ k b d $
159	Hebrew	liver	kābēd	k aː b eː d	(HALOT 456)	33	kaːbeːd	^ k aː b eː d $
160	Syriac	liver; anger	kabdā	k a b d aː	(LSyr. 315, SL 595)	33	kabdaː	^ k a b d aː $
161	Arabic	middle, interior	kabid-	k a b i d	(Lane 2585)	33	kabid-	^ k a b i d - $
162	Geez	liver, stomach, belly	kabd	k a b d	(CDG 273)	33	kabd	^ k a b d $
163	PS	intestines, entrails	*mVˁay-	m ʕ a y	(SED I No. 185)	34	m-ʕay-	^ m - ʕ a y - $
164	Akkadian	liver (examined by the haruspex), liver model; omen	amūtu	a m uː t u	(CAD A₂ 96, AHw. 46)	34	amuːtu	^ a m uː t u $
165	Hebrew	entrails, intestines	mēˁayim	m eː ʕ a y i m	(HALOT 609)	34	meːʕayim	^ m eː ʕ a y i m $
166	Syriac	intestines	məˁūṯā	m ə ʕ uː θ aː	(LSyr. 397, SL 800)	34	məʕuːθaː	^ m ə ʕ uː θ aː $
167	Syriac	intestines	məˁayyā	m ə ʕ a y y aː	(LSyr. 397, SL 800)	34	məʕayyaː	^ m ə ʕ a y y aː $
168	Arabic	intestines	maˁy-, maˁan	m a ʕ y	(BK 2 1131)	34	maʕy-	^ m a ʕ y - $
169	Geez	intestine	ˀamāˁut	ʔ a m aː ʕ u t	(CDG 23)	34	ʔamaːʕut	^ ʔ a m aː ʕ u t $
170	PS	mouth	*pay-	p a y	(SED I No. 223)	35	pay-	^ p a y - $
171	Akkadian	mouth	pû	p û	(CAD P 453, AHw. 872)	35	pû	^ p û $
172	Ugaritic	mouth	p	p	(DUL 657)	35	p	^ p $
173	Hebrew	mouth; opening	pǟ	p æː	(HALOT 914)	35	pæː	^ p æː $
174	Syriac	mouth; opening; flesh (of fruit); sharp edge (of sword)	pūmā	p uː m aː	(LSyr. 577, SL 1165)	35	puːmaː	^ p uː m aː $
175	Arabic	mouth	fam-	f a m	(Lane 2446)	35	fam-	^ f a m - $
176	Geez	mouth	ˀaf	ʔ a f	(CDG 8)	35	ʔaf	^ ʔ a f $
177	PS	name	*šVm-	ʃ m	(CDG 504, Kogan 2015: 33)	37	ʃ-m-	^ ʃ - m - $
178	Akkadian	name	šumu	ʃ u m u	(CAD Š₃ 284, AHw. 1274)	37	ʃumu	^ ʃ u m u $
179	Ugaritic	name	šm	ʃ m	(DUL 822)	37	ʃm	^ ʃ m $
180	Hebrew	name	šēm	ʃ eː m	(HALOT 1548)	37	ʃeːm	^ ʃ eː m $
181	Syriac	name; fame, glory; person	šmā	ʃ m aː	(LSyr. 784, SL 1569)	37	ʃmaː	^ ʃ m aː $
182	Arabic	name	ˀism-	ʔ i s m	(Lane 1435)	37	ʔism-	^ ʔ i s m - $
183	Geez	name	səm	s ə m	(CDG 504)	37	səm	^ s ə m $
184	PS	new	*ḥdṯ	ħ d θ	(CDG 225, Kogan 2015: 33)	38	ħdθ	^ ħ d θ $
185	Akkadian	new	eššu	e ʃ ʃ u	(CAD E 374, AHw. 258)	38	eʃʃu	^ e ʃ ʃ u $
186	Ugaritic	new	ḥdṯ	ħ d θ	(DUL 355)	38	ħdθ	^ ħ d θ $
187	Hebrew	new	ḥādāš	ħ aː d aː ʃ	(HALOT 294)	38	ħaːdaːʃ	^ ħ aː d aː ʃ $
188	Syriac	new; young	ḥatā	ħ a t aː	(LSyr. 217, SL 418)	38	ħataː	^ ħ a t aː $
189	Arabic	new	ḥadīṯ-	ħ a d iː θ	(Lane 529)	38	ħadiːθ-	^ ħ a d iː θ - $
190	Geez	new	ḥaddis	ħ a d d i s	(CDG 226)	38	ħaddis	^ ħ a d d i s $
191	PS	to cut, to make an incision	*gdd	g d d	(Kogan 2015: 33)	39	gdd	^ g d d $
192	Akkadian	to chop	gadādu	g a d aː d u	(CAD G 8, AHw. 273)	39	gadaːdu	^ g a d aː d u $
193	Hebrew	to make incisions upon oneself	gdd	g d d	(HALOT 177)	39	gdd	^ g d d $
194	Syriac	to cut off	gdd	g d d	(LSyr. 103, SL 204)	39	gdd	^ g d d $
195	Arabic	to cut, to cut off	ǯdd	d ʒ d d	(Lane 384)	39	dʒdd	^ d ʒ d d $
196	PS	night	*layliy(-at)-	l a y l i y	(CDG 314, Fronzaroli 1965a: 141, 147, 150; Kogan 2011: 196; Kogan 2015: 33)	42	layliy-	^ l a y l i y - $
197	Akkadian	evening	līlâtu	l iː l â t u	(CAD L 184, AHw. 552)	42	liːlâtu	^ l iː l â t u $
198	Akkadian	to lie down	niālu	n i aː l u	(CAD N₁ 204, AHw. 784)	42	niaːlu	^ n i aː l u $
199	Ugaritic	night	ll	l l	(DUL 497)	42	ll	^ l l $
200	Hebrew	night	layil	l a y i l	(HALOT 528)	42	layil	^ l a y i l $
201	Syriac	night	lelyā	l e l y aː	(LSyr. 366, SL 691)	42	lelyaː	^ l e l y aː $
202	Arabic	night	layl-, laylat-	l a y l	(Lane 3015)	42	layl-	^ l a y l - $
203	Geez	night	lelit	l e l i t	(CDG 314)	42	lelit	^ l e l i t $
204	PS	evening	*mušy(-at)-	m u ʃ y	(CDG 368; Fronzaroli 1965a: 141, 147, 150; Kogan 2011: 196; Kogan 2015: 33)	43	muʃy-	^ m u ʃ y - $
205	Akkadian	night	mušītu	m u ʃ iː t u	(CAD M₂ 271, AHw. 683)	43	muʃiːtu	^ m u ʃ iː t u $
206	Akkadian	night	mūšu	m uː ʃ u	(CAD M₂ 291, AHw. 687)	43	muːʃu	^ m uː ʃ u $
207	Arabic	evening	musy-, masāˀ-	m u s y	(LA 15 325, Lane 3020)	43	musy-	^ m u s y - $
208	Geez	evening	məset, məsyat	m ə s e t	(CDG 368)	43	məset	^ m ə s e t $
209	PS	bone	*ˁaṯ̣m-	ʕ a θˤ m	(SED I No. 25)	44	ʕaθˤm-	^ ʕ a θˤ m - $
210	Akkadian	bone	eṣemtu	e sˤ e m t u	(CAD E 341, AHw. 251)	44	esˤemtu	^ e sˤ e m t u $
211	Ugaritic	bone	ˁṯ̣m	ʕ θˤ m	(DUL 197)	44	ʕθˤm	^ ʕ θˤ m $
212	Hebrew	bone	ˁäṣäm	ʕ æ sˤ æ m	(HALOT 869)	44	ʕæsˤæm	^ ʕ æ sˤ æ m $
213	Syriac	flank, thigh; innermost part; family, race	ˁaṭmā	ʕ a tˤ m aː	(LSyr. 520, SL 1093)	44	ʕatˤmaː	^ ʕ a tˤ m aː $
214	Syriac	bone	ṭm	tˤ m	(LSyr. 279, SL 535)	44	tˤm	^ tˤ m $
215	Arabic	bone	ˁaḏ̣m-	ʕ a ðˤ m	(BK 2 293, Lanes 2086)	44	ʕaðˤm-	^ ʕ a ðˤ m - $
216	Geez	bone	ˁaṣ̂m, ˁaṣm	ʕ a ɬˤ m	(CDG 58)	44	ʕaɬˤm	^ ʕ a ɬˤ m $
217	PS	earth	*ˀarṣ̂-	ʔ a r ɬˤ	(HALOT 90; Fronzaroli 1965a: 136, 144; Kogan 2011: 189; Kogan 2015: 30)	46	ʔarɬˤ-	^ ʔ a r ɬˤ - $
218	Akkadian	earth	erṣetu	e r sˤ e t u	(CAD E 308, AHw. 245)	46	ersˤetu	^ e r sˤ e t u $
219	Ugaritic	earth	ˀarṣ	ʔ a r sˤ	(DUL 107)	46	ʔarsˤ	^ ʔ a r sˤ $
220	Hebrew	earth	ˀäräṣ	ʔ æ r æ sˤ	(HALOT 90)	46	ʔæræsˤ	^ ʔ æ r æ sˤ $
221	Syriac	earth, land; ground floor; bottom	ˀarˁā	ʔ a r ʕ aː	(LSyr. 51, SL 104)	46	ʔarʕaː	^ ʔ a r ʕ aː $
222	Arabic	earth, land	ˀarḍ-	ʔ a r dˤ	(Lane 48)	46	ʔardˤ-	^ ʔ a r dˤ - $
223	PS	soil; soft surface of the earth used for cultivation and as a building material (soil, dust)	*ˁapar-	ʕ a p a r	(Fronzaroli 1968: 270, 287; HALOT 861, Kogan 2011: 189; Kogan 2015: 530)	48	ʕapar-	^ ʕ a p a r - $
224	Akkadian	soil	eperu	e p e r u	(CAD E 184, AHw. 222)	48	eperu	^ e p e r u $
225	Ugaritic	soil	ˁpr	ʕ p r	(DUL 174)	48	ʕpr	^ ʕ p r $
226	Hebrew	soil	ˁāpār	ʕ aː p aː r	(HALOT 861)	48	ʕaːpaːr	^ ʕ aː p aː r $
227	Syriac	dust; earth, soil	ˁaprā	ʕ a p r aː	(LSyr. 539, SL 1124)	48	ʕapraː	^ ʕ a p r aː $
228	Arabic	soil	ˁafar-	ʕ a f a r	(Lane 2090)	48	ʕafar-	^ ʕ a f a r - $
229	Geez	soil	ˀafar	ʔ a f a r	(CDG 10)	48	ʔafar	^ ʔ a f a r $
230	PS	to be dark	*γṯy	ɣ θ y	(Kogan 2015: 34, note 66; Kogan 2001: 266)	49	ɣθy	^ ɣ θ y $
231	Akkadian	to be troubled, blurred or dark	ešû	e ʃ û	(CAD E 378, AHw. 259)	49	eʃû	^ e ʃ û $
232	Arabic	to be clouded; to be confused	γṯy	ɣ θ y	(Lane 2230)	49	ɣθy	^ ɣ θ y $
233	PS	not	*lā	l aː	(HALOT 511, Kogan 2015: 34)	50	laː	^ l aː $
234	Akkadian	no, not	lā	l aː	(CAD L 1, AHw. 520)	50	laː	^ l aː $
235	Ugaritic	not	l	l	(DUL 482)	50	l	^ l $
236	Hebrew	not	lō(ˀ)	l oː	(HALOT 511)	50	loː	^ l oː $
237	Syriac	no	lā	l aː	(LSyr. 354, SL 665)	50	laː	^ l aː $
