NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_POS
117	to fill, be full	2006	FILL	verb
118	I. füllen (to fill)			
119	voll (full)			
120	to fill	2006	FILL	verb
121	be full	1429	FULL	adjective
122	to be filled			
123	hair	1040	HAIR	noun
124	pelo; capelli			
125	wool	964	WOOL	noun
126	hairiness, body hair, hairy covering	189	HAIR (BODY)	noun
127	hair; feathers	1040	HAIR	noun
128	Haare			
129	Haar (hair)			
130	coiffured hair			
131	hair of body or head	1256	HEAD	noun
132	hair, wool	1040	HAIR	noun
133	1. hair; 2. wool			
134	hand	1277	HAND	noun
135	arm; side; edge, border	1673	ARM	noun
136	forearm, hand; power, violence, possession	1277	HAND	noun
137	hand, possession	1277	HAND	noun
138	hand, arm, forepaw; power	1277	HAND	noun
139	hand, side, power	1277	HAND	noun
140	Hand, (seltener) Arm	1277	HAND	noun
141	Hand, Seite (hand, side)	1277	HAND	noun
142	Hand (hand)	1277	HAND	noun
143	hand, handle	1277	HAND	noun
144	hand, arm	2121	ARM OR HAND	noun
145	hand, arm, forepaw	1277	HAND	noun
146	head	1256	HEAD	noun
147	head; servant, slave; top, summit; beginning	1256	HEAD	noun
148	SAG			
149	head; person; beginning; leader, chief	1256	HEAD	noun
150	head; beginning	1256	HEAD	noun
151	head, top	1256	HEAD	noun
152	head; top, summit; point; beginning	1256	HEAD	noun
153	Kopf			
154	Haupt, Kopf; Ende, Spitze (head; end, top)	742	END (OF SPACE)	noun
155	1. head; 2. top, upper part			
156	skull	1605	SKULL	noun
157	= Sum. SAGxIGI			
158	skull, crown	1605	SKULL	noun
159	head, skull	1256	HEAD	noun
160	head, leader	1256	HEAD	noun
161	head, skull, vertex	1256	HEAD	noun
162	part of the back of the neck that is between the ears			
163	front, forward, chief, head	1256	HEAD	noun
164	to hear	1408	HEAR	verb
165	to hear, to listen, to obey	1408	HEAR	verb
166	to hear; to obey; to understand	1408	HEAR	verb
167	to hear, to listen	1408	HEAR	verb
168	to hear, listen to; to hearken; to obey	1408	HEAR	verb
169	to hear, listen	1408	HEAR	verb
170	I. hören (to hear)			
171	heart	1223	HEART	noun
172	heart; one's inner self; inclination, disposition, will, intention; reason	1223	HEART	noun
173	heart, mind	1223	HEART	noun
174	heart, stomach	1223	HEART	noun
175	heart, inside of the body; center, pith, inside; cake	1223	HEART	noun
176	heart, mind, center	1223	HEART	noun
177	Herz			
178	Herz (heart)			
179	what is in the inside; understanding, intelligence, mind	1562	MIND	noun
180	palmheart			
181	heart; mind	1223	HEART	noun
182	heart; belly	1223	HEART	noun
183	heart, middle of the body	1223	HEART	noun
184	middle, center, middle part	1093	MIDDLE	noun
185	thought, wish	2975	THOUGHT	noun
186	mind, intelligence, memory; heart; intention	1223	HEART	noun
187	sense, intelligence, reason, mind; memory; morale; heart	1223	HEART	noun
188	horn	1393	HORN (ANATOMY)	noun
189	horn, vessel, corner	1393	HORN (ANATOMY)	noun
190	Horn (horn)	1393	HORN (ANATOMY)	noun
191	I	1209	I	other
192	ich (I)			
193	knee	1371	KNEE	noun
194	knee, lap	1371	KNEE	noun
195	(du. suff. 3ms) knee	1371	KNEE	noun
196	knee; bowing down, genuflection; middle part of plow	1371	KNEE	noun
197	Knie (knee)			
198	to kneel	66	KNEEL	verb
199	the unit between two joints (in a finger, sugar cane)	146	SUGAR CANE	noun
200	(du. suff. 3 ms) knee	1371	KNEE	noun
201	Knie			
202	shoulder blade	172	SHOULDERBLADE	noun
203	shoulderjoint			
204	liver	1224	LIVER	noun
205	emotions, thought, mind, spirit	1562	MIND	noun
206	liver; anger	1224	LIVER	noun
207	liver; digestive organ	1224	LIVER	noun
208	middle, interior	1093	MIDDLE	noun
209	liver, stomach, belly	1224	LIVER	noun
210	belly, heart, interior	1223	HEART	noun
211	stomach, belly, liver, abdomen	1224	LIVER	noun
212	stomach, belly, abdomen	1251	BELLY	noun
213	intestines, entrails	1991	INTESTINES	noun
214	liver (examined by the haruspex), liver model; omen	107	OMEN	noun
215	entrails, intestines	1991	INTESTINES	noun
216	belly	1251	BELLY	noun
217	intestines	1991	INTESTINES	noun
218	guts, entrails	1334	GUTS	noun
219	Eingeweide (guts)			
220	Darm (intestines)			
221	intestine	1991	INTESTINES	noun
222	bowels	1991	INTESTINES	noun
223	mouth	674	MOUTH	noun
224	mouth, word	674	MOUTH	noun
225	mouth; opening	674	MOUTH	noun
226	mouth, opening	674	MOUTH	noun
227	mouth, opening, entrance, sharp edge of blade	674	MOUTH	noun
228	mouth, opening, top, entrance, edge	674	MOUTH	noun
229	mouth; opening; flesh (of fruit); sharp edge (of sword)	674	MOUTH	noun
230	Mund, Öffnung (mouth, opening)	1667	HOLE	noun
231	Mund, Maul (mouth, muzzle)	2200	SNOUT	noun
232	voice, authority	1363	VOICE	noun
233	mouth; language	674	MOUTH	noun
234	opening, hole	1667	HOLE	noun
235	hole, crevice	1667	HOLE	noun
236	an aperture in a wall, a passage between any two houses			
237	passageway, corridor			
238	portico			
239	door, gate	1567	DOOR	noun
240	mouth; entrance, opening	674	MOUTH	noun
241	name	1405	NAME	noun
242	name; fame, glory; person	1405	NAME	noun
243	Name	1405	NAME	noun
244	Name (name)	1405	NAME	noun
245	new	1231	NEW	adjective
246	new; young	1231	NEW	adjective
247	neu (new)			
248	être neuf			
249	to cut, to make an incision	1432	CUT	verb
250	to chop	155	CHOP	verb
251	to make incisions upon oneself			
252	to destroy; to dig; to tear; to divide	1418	DIG	verb
253	to renew; to dedicate			
254	to cut off			
255	to cut, to cut off	1432	CUT	verb
256	to tear, to make a hole	1735	TEAR (SHRED)	verb
257	to be good, lucky, excellent	1035	GOOD	adjective
258	fortune			
259	luck	720	GOOD LUCK	noun
260	fortune, lot, fate	1688	FATE	noun
261	fortune, success, luck	720	GOOD LUCK	noun
262	to be fortunate			
263	to be good, approvable, excellent	1035	GOOD	adjective
264	luck, fortune	720	GOOD LUCK	noun
265	luck, good luck or good fortune	720	GOOD LUCK	noun
266	wonderful, marvelous, splendid			
267	to be new	1231	NEW	adjective
268	night	1233	NIGHT	noun
269	evening	1629	EVENING	noun
270	to lie down	215	LIE DOWN	verb
271	Sum. Ù.DI			
272	Sum. Ù.DI.DI			
273	Nacht (night)			
274	to spend the night			
275	bone	1394	BONE	noun
276	thigh of an animal			
277	thigh	471	UPPER LEG (THIGH)	noun
278	bones (corpse)			
279	thigh, foundation wall (?)	471	UPPER LEG (THIGH)	noun
280	flank, thigh; innermost part; family, race	471	UPPER LEG (THIGH)	noun
281	thigh, side, flank, hip, loin	471	UPPER LEG (THIGH)	noun
282	back	1291	BACK	noun
283	skin over wound, badly set bone to turn into scar tissue			
284	to be fat	1279	FAT (OBESE)	adjective
285	fat	323	FAT (ORGANIC SUBSTANCE)	noun
286	body; bone	1394	BONE	noun
287	bone, self	1394	BONE	noun
288	bone; crab shell	1394	BONE	noun
289	bone; knuckle	1394	BONE	noun
290	Knocken			
291	Knochen (bone)			
292	body	1480	BODY	noun
293	datestone			
294	body (of animal)	1480	BODY	noun
295	earth	1228	EARTH (SOIL)	noun
296	earth, land	626	LAND	noun
297	earth, land; ground floor; bottom	1228	EARTH (SOIL)	noun
298	Boden, Grund, Wurzel; Erde; Feld, Ackerfeld (soil, ground, root; earth; field, arable field)	670	ROOT	noun
299	soil; soft surface of the earth used for cultivation and as a building material (soil, dust)	1228	EARTH (SOIL)	noun
300	soil	1228	EARTH (SOIL)	noun
301	dust; earth, soil	2	DUST	noun
302	earth, soil	1228	EARTH (SOIL)	noun
303	clay, soil, earth	1228	EARTH (SOIL)	noun
304	poussière, terre			
305	earth, soil, ground, country	1228	EARTH (SOIL)	noun
306	to paw the soil			
307	to dig	1418	DIG	verb
308	to be dark	706	DARK	adjective
309	to be troubled, blurred or dark	706	DARK	adjective
310	to be clouded; to be confused	3858	CONFUSED	adjective
311	not	1240	NOT	other
312	no, not	2279	NO OR NOT	other
313	no, negative particle	1269	NO	other
314	no	1269	NO	other
315	Verneinungspartikel, nein (negative particle, 'not')			
316	one	1493	ONE	numeral
317	one another			
318	one (feminine)	1493	ONE	numeral
319	someone, anyone	2422	SOMEONE	other
320	alone, solitary	1964	ALONE	adjective
321	to unite with			
322	one (?)	1493	ONE	numeral
323	eleven	1706	ELEVEN	numeral
324	onze (eleven)			
325	seed	714	SEED	noun
326	seed; offspring, descendants	714	SEED	noun
327	seed; sowing; offspring, family	714	SEED	noun
328	Kern (kernel)			
329	to sow	748	SOW SEEDS	verb
330	to sow, to cast seed	748	SOW SEEDS	verb
331	cultivated field	212	FIELD	noun
332	seed, grain	714	SEED	noun
333	to sow, to seed	748	SOW SEEDS	verb
334	säen (to sow)			
335	(plants) to grow	479	GROW	verb
336	tall grass			
337	to scatter (?)	2064	SCATTER (SEEDS)	verb
338	to scatter	3705	SCATTER	verb
339	to disperse			
340	to disperse, to scatter	3705	SCATTER	verb
341	(pa.) to disperse, scatter	2064	SCATTER (SEEDS)	verb
342	to scatter, spread; take root	3705	SCATTER	verb
343	to scatter, to disperse, to sprinkle on	3705	SCATTER	verb
344	to strew, scatter	572	STREW	verb
345	to sow, to scatter	748	SOW SEEDS	verb
346	field, arable land	212	FIELD	noun
347	star	1430	STAR	noun
348	star; kind of collyrium	1430	STAR	noun
349	Stern (star)			
350	sun	1343	SUN	noun
351	sun, sunlight	1343	SUN	noun
352	sun; type of lizard; gold	1343	SUN	noun
353	Sonne(nschein) (sunshine)			
354	heat of the sun			
355	tail	1220	TAIL	noun
356	tail, rear part	1220	TAIL	noun
357	Sum. KUN			
358	tail; farthest part	1220	TAIL	noun
359	Schwanz			
360	Schwanz (tail)			
361	to rout enemy			
362	tail, anus	1220	TAIL	noun
363	tail, scarf	1220	TAIL	noun
364	this, that; the one who/which/that	1214	THIS	other
365	the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, masc. sg.)	1235	WHO	other
366	the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, fem. sg.)	1235	WHO	other
367	the one(s) of; who, whom, he who; the (one) who/which/that (determinative/relative functor, pl.)	1235	WHO	other
368	that (man) there			
369	this	1214	THIS	other
370	who, which (relative pronoun, masc. sg.)	1235	WHO	other
371	that	78	THAT	other
372	this (masc.)	1214	THIS	other
373	this (fem.)	1214	THIS	other
374	one who/that which (relative pronoun, masc. sg.)			
375	one who/that which (relative pronoun, fem. sg.)			
376	ones who/that which (relative pronoun, fem. du.)			
377	ones who/that which (relative pronoun, masc. du.)			
378	who, that, which (relative pronoun, masc. sg.)	1235	WHO	other
379	that (masc.)	78	THAT	other
380	this, this one (masc.)	1214	THIS	other
381	that, which, he who (relative pronoun)	78	THAT	other
382	who, that, which (relative pronoun)	1235	WHO	other
383	who, which, that (relative pronoun)	1235	WHO	other
384	who, which, what; of	1235	WHO	other
385	nota genitivi; relative pronoun			
386	another one, the other	197	OTHER	other
387	(deictic element)			
388	these	3984	THESE (PLURAL OF THIS)	other
389	thou (masc. sg.)	1215	THOU	other
390	you	1213	YOU	other
391	thou	1215	THOU	other
392	you (masc. sing.)	1213	YOU	other
393	you (sg. m.)	1213	YOU	other
394	you (sg.)	1215	THOU	other
395	you (m.)	1213	YOU	other
396	thou (masc.)	1215	THOU	other
397	you (masc. sg.)	1213	YOU	other
398	you (2ms)	1213	YOU	other
399	tongue	1205	TONGUE	noun
400	tongue, language	1205	TONGUE	noun
401	tongue, word	1205	TONGUE	noun
402	tongue, language, language group, people	1205	TONGUE	noun
403	tongue, language, meaning	1205	TONGUE	noun
404	tongue, language, speech	1205	TONGUE	noun
405	language	1307	LANGUAGE	noun
406	tongue, language, speech, version	1205	TONGUE	noun
407	tongue, language, spit of land	1205	TONGUE	noun
408	Zunge			
409	tongue; language	1205	TONGUE	noun
410	Zunge; Sprache (tongue; language)	1307	LANGUAGE	noun
411	tongue: language	1205	TONGUE	noun
412	to lick	319	LICK	verb
413	to taste, to lick	319	LICK	verb
414	tooth	1380	TOOTH	noun
415	tooth, ivory	1380	TOOTH	noun
416	molar tooth	1049	MOLAR TOOTH	noun
417	protuberance			
418	to grow shoots, branches			
419	(Eck­)Zahn ((canine) tooth)			
420	Zähne (teeth)			
421	Zahn (tooth)			
422	tooth; molar	1380	TOOTH	noun
423	canine tooth			
424	floating rib or cartilage at the tip of the rib			
425	two	1498	TWO	numeral
426	zwei (two)			
427	the next day			
428	both			
429	water	948	WATER	noun
430	water (oblique case)	948	WATER	noun
431	water; mail semen, menstrual fluid; urine	948	WATER	noun
432	Wasser (water)			
433	we	1212	WE	other
434	wir (we)			
435	to be white, bright	679	BRIGHT	adjective
436	a whiteness in the tail of a horse, and the forelock			
437	beeswax, honeycomb	1931	BEESWAX	noun
438	honeycomb	3947	HONEYCOMB	noun
439	who?	1235	WHO	other
440	who	1235	WHO	other
441	wer? (who?)			
442	who, whosoever	1235	WHO	other
443	bark	1204	BARK	noun
444	skin, peel (of a fruit)	763	SKIN	noun
445	scale, scaly skin, tortoise shell; husk, rind, bark, peel	1204	BARK	noun
446	scab	2664	SCAB	noun
447	split parchment; scaly surface, scab, (pl.) scales	2664	SCAB	noun
448	peel, shell	598	SHELL	noun
449	cortex, squama, putamen			
450	bark, shell, scale, peel	1204	BARK	noun
451	shell, hard casing	598	SHELL	noun
452	peel	275	PEEL	verb
453	Schale (scale, peel)	275	PEEL	verb
454	ˀalqišr (bark, peel)	275	PEEL	verb
455	to peel, decorticate	275	PEEL	verb
456	bark of a tree			
457	dried bark of a tree			
458	bark of certain trees			
459	liḥāˀu ššaǯari (bark of a tree)			
460	bark, skin, peel	763	SKIN	noun
461	crust, peel, rind, scales	275	PEEL	verb
462	skin, peel, husk, shell, paring, bark	763	SKIN	noun
463	scab, scale, peel, hull, shell, husk, bark	1204	BARK	noun
464	peel, crust, bark, shell	1204	BARK	noun
465	bark of tree	1204	BARK	noun
466	hard bark of a tree			
467	belly, stomach	2114	BELLY OR STOMACH	noun
468	stomach, belly, womb, body; mind, heart, desire; inner or lower side	1223	HEART	noun
469	stomach	819	STOMACH	noun
470	stomach, womb	819	STOMACH	noun
471	belly, womb	1251	BELLY	noun
472	stomach, rumen	819	STOMACH	noun
473	belly, stomach; womb, uterus	1251	BELLY	noun
474	belly, stomach; womb, uterus; pregnancy	1251	BELLY	noun
475	ventricle, stomach, belly, uterus; stomach (of animals, esp. ruminant)	1251	BELLY	noun
476	belly, stomach, womb, abdomen; interior (of ship, ark, vessel)	1251	BELLY	noun
477	inside	1606	INSIDE	other
478	belly, stomach, interior	1251	BELLY	noun
479	belly, stomach, abdomen	1251	BELLY	noun
480	abdomen, belly	1251	BELLY	noun
481	abdomen, belly, stomach	1251	BELLY	noun
482	belly; calf; biceps	1251	BELLY	noun
483	cold	1287	COLD	adjective
484	cold, cool	1287	COLD	adjective
485	to make cold, to cool down	3068	COOL DOWN	verb
486	to refresh o.s.; to refresh s.o., to provide relief			
487	to cool	3068	COOL DOWN	verb
488	to cool down	3068	COOL DOWN	verb
489	to be cold, frosty, to turn cold	1287	COLD	adjective
490	to be cold	1287	COLD	adjective
491	be cold, be cool; cool down (anger), subside (fire)	1287	COLD	adjective
492	frost of morning			
493	early morning			
494	to go at midday, spend midday			
495	tomorrow	1329	TOMORROW	other
496	tomorrow; next day	1329	TOMORROW	other
497	fire	221	FIRE	noun
498	fire; abscess, inflammation	221	FIRE	noun
499	to be bright, to shine	708	SHINE	verb
500	light	630	LIGHT (RADIATION)	noun
501	fire; light	221	FIRE	noun
502	fire, conflagration	221	FIRE	noun
503	Feuer (fire)			
504	green	1425	GREEN	adjective
505	yellow, green (as a natural color)	1424	YELLOW	adjective
506	yellow	1424	YELLOW	adjective
507	green, greenery	1425	GREEN	adjective
508	greenish, palegreen			
509	green, yellow	1424	YELLOW	adjective
510	green; green plants	1425	GREEN	adjective
511	green, livid; herbs, vegetables; egg yolk	1425	GREEN	adjective
512	yellow, green(ish), pallid	1424	YELLOW	adjective
513	grün (green)			
514	ashcolored			
515	leaf	628	LEAF	noun
516	silver coins			
517	gold	1369	GOLD	noun
518	straw, grass	606	GRASS	noun
519	herb, grass, vegetation, straw	606	GRASS	noun
520	straw	2299	STRAW	noun
521	dry grass, straw	2299	STRAW	noun
522	to know	3626	KNOW	verb
523	knowing someone, expert, wise,competent, learned; acquaintance, person known	698	WISE	adjective
524	to know; to discern, recognize; to cohabit with	3626	KNOW	verb
525	wissen (to know)			
526	to make known, to inform			
527	promulger (to enact)			
528	to inquire, find out	1309	ASK (INQUIRE)	verb
529	I do not know; perhaps, probably	2278	PERHAPS	other
530	to make know, inform			
531	I do not know; perhaps	2278	PERHAPS	other
532	to split, to separate	1437	SPLIT	verb
533	to separate, to divide, to split; to know; to distinguish	3626	KNOW	verb
534	to discriminate, to discern; to know	3626	KNOW	verb
535	to be able	972	BE ABLE	verb
536	man of middle age			
537	to be successful			
538	to be able to tolerate			
539	(to) sign	1720	SIGN	noun
540	to make acknowledgment			
541	to sign	1720	SIGN	noun
542	to write, to seal, to teach, to make a sign, to mark	1672	WRITE	verb
543	moon	1313	MOON	noun
544	moon, new moon; month	1313	MOON	noun
545	moon, month	2463	MOON OR MONTH	noun
546	month	1370	MONTH	noun
547	new moon; month	1370	MONTH	noun
548	(a characteristic such as brilliance)			
549	little moons (as amulets or jewelry)			
550	Mond (month)			
551	the new moon, when it appears	3691	NEW MOON	noun
552	beginning of month			
553	début du mois (beginning of the month)			
554	new moon, first day of the month	3691	NEW MOON	noun
555	moon, first day of the month	1313	MOON	noun
556	first crescent of moon			
557	1. new moon; 2. month			
558	nose	1221	NOSE	noun
559	nose; tip, crown, end, rind, edge; spur of land	1221	NOSE	noun
560	front, near side	2194	FRONT (PART)	noun
561	façade (front)			
562	tip of the pen; nose	1221	NOSE	noun
563	first, ancient	728	FIRST	other
564	root	670	ROOT	noun
565	root, base, foundation	670	ROOT	noun
566	Wurzel			
567	origin, source, root	670	ROOT	noun
568	small thorny trees			
569	small thorny tree			
570	base, foundation	831	BASE	noun
571	root, vein, nerve, artery, muscle	670	ROOT	noun
572	wand; lopped, dressed branch			
573	stone	857	STONE	noun
574	weight	2466	WEIGHT	noun
575	stone, gem	857	STONE	noun
576	rock, stone, gem; small building	857	STONE	noun
577	tree	906	TREE	noun
578	tree; timber, lumber, wood; aromatic wood; wooded area	906	TREE	noun
579	wood	1803	WOOD	noun
580	tree, shrub, bush; wood; stick, staff (of spear)	906	TREE	noun
581	woman	962	WOMAN	noun
582	wife	1199	WIFE	noun
583	woman, wife, female	962	WOMAN	noun
584	woman, wife	962	WOMAN	noun
585	woman, married woman	962	WOMAN	noun
586	Frau, Ehefrau (wife)			
587	female, feminine	1551	FEMALE	adjective
588	woman (?)	962	WOMAN	noun
589	womenfolk			
590	woman, female	2105	FEMALE PERSON	noun
591	female (of animals)	2262	FEMALE (OF ANIMAL)	adjective
592	female	1551	FEMALE	adjective
593	tendon, muscle, vein, nerve	1924	VEIN	noun
594	vein, artery	525	BLOOD VESSEL	noun
595	neck muscle; collarbone	1994	COLLARBONE	noun
596	tendon, nerve	1137	TENDON	noun
597	arm above elbow			
598	arm above elbow, front leg of cattle			
599	root; artery, sinew, nerve	670	ROOT	noun
600	vein, sinew, nerve, artery	1924	VEIN	noun
601	space behind the knees			
602	to entangle, to interweave			
603	to be intricate, complicated, intermixed			
604	to catch in a net, ensnare, entangle			
605	to divert; to set difficult conditions			
606	to set a net, a trap	1075	TRAP (PITFALL)	noun
607	man; son; lord	1554	MAN	noun
608	son	1620	SON	noun
609	man	1554	MAN	noun
610	man; lord; male child	1554	MAN	noun
611	woman, lady, child	962	WOMAN	noun
612	lord	3153	LORD	noun
613	man, person; lord; male child	1554	MAN	noun
614	free woman			
615	a young man who just reached the age of puberty			
616	(kind of small) bird	937	BIRD	noun
617	sparrow	1854	SPARROW	noun
618	bird	937	BIRD	noun
619	(coll.) bird, winged creature; (sg.) individual bird	937	BIRD	noun
620	special bird, sparrow	1854	SPARROW	noun
621	bird; special bird, sparrow	937	BIRD	noun
622	(pl.) bird	937	BIRD	noun
623	bird, fowl	937	BIRD	noun
624	little bird			
625	little bird, sparrow	1854	SPARROW	noun
626	Sperling (sparrow)			
627	bird (other than bird of prey)	937	BIRD	noun
628	sandpiper			
629	divination from birds, augury			
630	(pa., itpa.) to augur			
631	bird, birds; insect; name of a star	937	BIRD	noun
632	Vogel (bird)			
633	to divine by observing the flight of birds			
634	good fortune, luck	720	GOOD LUCK	noun
635	chick, brood, young of a bird	2512	CHICK	noun
636	chick	2512	CHICK	noun
637	brood	2075	BROOD (VERB)	verb
638	young bird			
639	bird (eastern dial.); dove, birds	1853	DOVE	noun
640	bird(s), fowl	265	FOWL	noun
641	a young one of any animal			
642	chick, young bird	2512	CHICK	noun
643	egg	744	EGG	noun
644	egg; (pl.) testicles; skull, bald portion on head; (pl.) arch	744	EGG	noun
645	Ei (egg)			
646	to strike, beat	353	STRIKE	verb
647	to hit, to wound, to strike	1433	HIT	verb
648	a chopping intrument			
649	to kill	1417	KILL	verb
650	weaver	3637	WEAVER	noun
651	to smash			
652	to beat	1665	BEAT	verb
653	to strike	353	STRIKE	verb
654	to strike, to knock	353	STRIKE	verb
655	to strike, hit	353	STRIKE	verb
656	I. schlagen, werfen, schießen; wehen (to hit, throw, shoot; blow)	1456	THROW	verb
657	to smite, to defeat	782	DEFEAT	noun
658	defeat	782	DEFEAT	noun
659	to smite, to cut, to destroy	1432	CUT	verb
660	to shake (milk), to make butter	1909	SHAKE	verb
661	to break, to split	1437	SPLIT	verb
662	to hit	1433	HIT	verb
663	to hit, to beat, to strike	1433	HIT	verb
664	to hit, beat, strike	1433	HIT	verb
665	frapper			
666	to struggle, to wrestle			
667	baby	1289	BABY	noun
668	child, boy; type of sacrifice	2099	CHILD	noun
669	skin; flesh, meat; body	763	SKIN	noun
670	flesh	2259	FLESH	noun
671	flesh, meat	2615	FLESH OR MEAT	noun
672	flesh, body; human being; meat	634	MEAT	noun
673	Fleisch (flesh)			
674	epidermis; mankind			
675	flesh, meat; human beings (?)	634	MEAT	noun
676	chair, les hommes (flesh; people)	1476	CHAIR	noun
677	skin, complexion, maiden head	763	SKIN	noun
678	skin, complexion	763	SKIN	noun
679	rain	658	RAIN (PRECIPITATION)	noun
680	Regen (rain)			
681	rainwatered field			
682	(to be) good	1035	GOOD	adjective
683	good, sweet, fresh, aromatic, benevolent	1035	GOOD	adjective
684	good	1035	GOOD	adjective
685	good; merry; pleasant; in order, usable	1035	GOOD	adjective
686	good; valuable, precious; cost, worth	1035	GOOD	adjective
687	gut (good)	1334	GUTS	noun
688	pleasant, delightful, delicious, sweet	717	SWEET	adjective
689	to be welldisposed			
690	bon, précieux (good, precious)	3002	PRECIOUS	adjective
691	to enjoy			
692	to go to and fro			
693	to prowl, to make one’s rounds, to turn about			
694	to run away, to flee	956	FLEE	verb
695	to come forth, go away; flee; to overflow	3130	SPILL (SOMETHING)	verb
696	to flee	956	FLEE	verb
697	to be dry	1398	DRY	adjective
698	dry	1398	DRY	adjective
699	dry, paralyzed	1398	DRY	adjective
700	dry, dried up	1398	DRY	adjective
701	to dry up	1786	DRY UP	verb
702	dry, arid, withered	1398	DRY	adjective
703	foot	1301	FOOT	noun
